type,level,skill,topics,japanese,reading,meaning,part_of_speech,verb_type,transitivity,paired_with,example,example_reading,example_meaning,source,source_ref,tags,notes
expression,N5,vocabulary,,頭,あたま,head,noun,,,,頭が痛いです。,あたまがいたいです。,I have a headache.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,新しい,あたらしい,new,i-adjective,,,,新しい靴を買いました。,あたらしいくつをかいました。,I bought new shoes.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,あちら,あちら,this way (polite),pronoun,,,,あちらへどうぞ。,あちらへどうぞ。,"This way, please.",JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,暑い,あつい,"hot (in reference to weather), warm",i-adjective,,,,今日はとても暑いです。,きょうはとてもあついです。,Today is very hot.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,熱い,あつい,hot (objects),i-adjective,,,,お茶が熱いです。,おちゃがあついです。,The tea is hot.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,厚い,あつい,"kind, warm(hearted), thick, deep",i-adjective,,,,厚い本を読みます。,あついほんをよみます。,I read a thick book.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,あっち,あっち,over there,pronoun,,,,あっちに行きましょう。,あっちにいきましょう。,Let's go over there.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,後,あと,afterwards (later); in the future; the rest; since then,noun,,,,後で電話します。,あとででんわします。,I will call later.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,あなた,あなた,you,pronoun,,,,あなたは学生ですか。,あなたはがくせいですか。,Are you a student?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,兄,あに,(my) older brother (humble),noun,,,,兄は医者です。,あにはいしゃです。,My older brother is a doctor.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,姉,あね,(my) older sister (humble),noun,,,,姉は先生です。,あねはせんせいです。,My older sister is a teacher.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,アパート,アパート,apartment (abbr.),noun,,,,アパートに住んでいます。,アパートにすんでいます。,I live in an apartment.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,あの,あの,"that over there; like that, that way; um...",determiner,,,,あの人は誰ですか。,あのひとはだれですか。,Who is that person?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,浴びる,あびる,"to bathe, to shower",verb,ichidan,transitive,,シャワーを浴びます。,シャワーをあびます。,I take a shower.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,危ない,あぶない,"dangerous, critical",i-adjective,,,,あの道は危ないです。,あのみちはあぶないです。,That road is dangerous.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,甘い,あまい,"generous, sweet",i-adjective,,,,このケーキは甘いです。,このケーキはあまいです。,This cake is sweet.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,余り,あまり,not very; surplus,adverb,,,,あまり好きじゃないです。,あまりすきじゃないです。,I don't like it very much.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,雨,あめ,rain,noun,,,,明日は雨です。,あしたはあめです。,It will rain tomorrow.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,飴,あめ,(hard) candy,noun,,,,飴を食べます。,あめをたべます。,I eat candy.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,洗う,あらう,to wash,verb,godan,transitive,,手を洗います。,てをあらいます。,I wash my hands.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,在る,ある,"to be, to have",verb,godan,intransitive,,机の上に本があります。,つくえのうえにほんがあります。,There is a book on the desk.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,有る,ある,"to be, to have",verb,godan,intransitive,,お金があります。,おかねがあります。,I have money.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,歩く,あるく,to walk,verb,godan,intransitive,,毎日歩きます。,まいにちあるきます。,I walk every day.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,あれ,あれ,that one (over there),pronoun,,,,あれは私の傘です。,あれはわたしのかさです。,That is my umbrella.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,いい,いい,good,i-adjective,,,,天気がいいです。,てんきがいいです。,The weather is nice.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: よい
expression,N5,vocabulary,,よい,よい,good,i-adjective,,,,天気がいいです。,てんきがいいです。,The weather is nice.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: いい
expression,N5,vocabulary,,いいえ,いいえ,"no, not at all",interjection,,,,いいえ、違います。,いいえ、ちがいます。,"No, that's not right.",JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,言う,いう,to say,verb,godan,transitive,,名前を言います。,なまえをいいます。,I say my name.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,家,いえ,"house, home",noun,,,,家に帰ります。,いえにかえります。,I go home.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,いかが,いかが,"how, in what way",adverb,,,,お茶はいかがですか。,おちゃはいかがですか。,How about some tea?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,行く,いく; ゆく,to go,verb,godan,intransitive,,学校に行きます。,がっこうにいきます。,I go to school.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,いくつ,いくつ,"how many, how old",pronoun,,,,りんごはいくつありますか。,りんごはいくつありますか。,How many apples are there?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,いくら,いくら,"how much, how many",pronoun,,,,これはいくらですか。,これはいくらですか。,How much is this?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,池,いけ,pond,noun,,,,公園に池があります。,こうえんにいけがあります。,There is a pond in the park.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,医者,いしゃ,doctor; physician,noun,,,,医者になりたいです。,いしゃになりたいです。,I want to become a doctor.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,椅子,いす,chair,noun,,,,椅子に座ります。,いすにすわります。,I sit on the chair.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,忙しい,いそがしい,"busy (people, days)",i-adjective,,,,今週はとても忙しいです。,こんしゅうはとてもいそがしいです。,I am very busy this week.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,痛い,いたい,hurt; painful; sore,i-adjective,,,,お腹が痛いです。,おなかがいたいです。,My stomach hurts.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,一,いち,one,noun,,,,一からやり直します。,いちからやりなおします。,I will start over from the beginning.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,一日,いちにち,one day (duration),noun,,,,一日中、家にいました。,いちにちじゅう、いえにいました。,I stayed home all day.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,一番,いちばん,"best (most), first, number one",adverb,,,,これが一番好きです。,これがいちばんすきです。,I like this the best.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,いつ,いつ,when,adverb,,,,いつ日本に来ましたか。,いつにほんにきましたか。,When did you come to Japan?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,五日,いつか,five days; fifth day of the month,noun,,,,五日に会いましょう。,いつかにあいましょう。,Let's meet on the fifth.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,一緒,いっしょ,together,noun,,,,一緒に行きましょう。,いっしょにいきましょう。,Let's go together.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,五つ,いつつ,five things,noun,,,,りんごを五つ買いました。,りんごをいつつかいました。,I bought five apples.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,いつも,いつも,"always, usually, every time, never (with neg. verb)",adverb,,,,いつも六時に起きます。,いつもろくじにおきます。,I always get up at six.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,犬,いぬ,dog,noun,,,,犬が好きです。,いぬがすきです。,I like dogs.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,今,いま,now,noun,,,,今、何時ですか。,いま、なんじですか。,What time is it now?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,意味,いみ,"meaning, significance",noun,,,,この言葉の意味が分かりません。,このことばのいみがわかりません。,I don't understand the meaning of this word.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,妹,いもうと,younger sister (humble),noun,,,,妹は高校生です。,いもうとはこうこうせいです。,My younger sister is a high school student.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,嫌,いや,"disagreeable, detestable, unpleasant",na-adjective,,,,勉強が嫌です。,べんきょうがいやです。,I dislike studying.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,入口,いりぐち,entrance,noun,,,,入口はあそこです。,いりぐちはあそこです。,The entrance is over there.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,居る,いる,"(humble) to be (animate), to exist",verb,ichidan,intransitive,,部屋に猫がいます。,へやにねこがいます。,There is a cat in the room.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,要る,いる,to need,verb,godan,intransitive,,お金が要ります。,おかねがいります。,I need money.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,入れる,いれる,to put in,verb,ichidan,transitive,入る,かばんに本を入れます。,かばんにほんをいれます。,I put the book in the bag.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,色,いろ,color,noun,,,,好きな色は何ですか。,すきないろはなんですか。,What is your favorite color?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,色々,いろいろ,various,na-adjective,,,,色々な国へ行きたいです。,いろいろなくにへいきたいです。,I want to go to various countries.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,上,うえ,"above (up, top, etc.), over, on top of",noun,,,,机の上に猫がいます。,つくえのうえにねこがいます。,There is a cat on the desk.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,後ろ,うしろ,"back, behind, rear",noun,,,,後ろに立ってください。,うしろにたってください。,Please stand behind.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,薄い,うすい,"thin, weak",i-adjective,,,,このコップは薄いです。,このコップはうすいです。,This cup is thin.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,歌,うた,a song,noun,,,,この歌が好きです。,このうたがすきです。,I like this song.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,歌う,うたう,to sing,verb,godan,transitive,,歌を歌います。,うたをうたいます。,I sing a song.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,うち,うち,home; house; my place,noun,,,,うちに帰ります。,うちにかえります。,I go home.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,生まれる,うまれる,to be born,verb,ichidan,intransitive,,東京で生まれました。,とうきょうでうまれました。,I was born in Tokyo.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,海,うみ,"sea, beach",noun,,,,夏は海に行きます。,なつはうみにいきます。,I go to the sea in summer.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,売る,うる,to sell (v.t.),verb,godan,transitive,,車を売ります。,くるまをうります。,I sell my car.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,うるさい,うるさい,noisy; annoying,i-adjective,,,,この部屋はうるさいです。,このへやはうるさいです。,This room is noisy.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,上着,うわぎ,"coat, jacket",noun,,,,上着を着ます。,うわぎをきます。,I wear a jacket.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,絵,え,a painting; a picture; a drawing,noun,,,,絵を描きます。,えをかきます。,I draw a picture.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,映画,えいが,"movie, film",noun,,,,映画を見ます。,えいがをみます。,I watch a movie.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,映画館,えいがかん,"movie theater, cinema",noun,,,,映画館へ行きます。,えいがかんへいきます。,I go to the movie theater.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,英語,えいご,English (language),noun,,,,英語を勉強します。,えいごをべんきょうします。,I study English.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,ええ,ええ,yes,interjection,,,,ええ、そうです。,ええ、そうです。,"Yes, that's right.",JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,駅,えき,station,noun,,,,駅まで歩きます。,えきまであるきます。,I walk to the station.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,エレベーター,エレベーター,elevator,noun,,,,エレベーターに乗ります。,エレベーターにのります。,I get in the elevator.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,～円,～えん,Yen,counter,,,,これは千円です。,これはせんえんです。,"This is 1,000 yen.",JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,鉛筆,えんぴつ,pencil,noun,,,,鉛筆で書きます。,えんぴつでかきます。,I write with a pencil.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お～,お～,honorable ~ (honorific),prefix,,,,お名前は何ですか。,おなまえはなんですか。,What is your name?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,美味しい,おいしい,"delicious, tasty",i-adjective,,,,このラーメンは美味しいです。,このラーメンはおいしいです。,This ramen is delicious.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,多い,おおい,many; there are a lot,i-adjective,,,,学生が多いです。,がくせいがおおいです。,There are many students.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,大きい,おおきい,"big, large",i-adjective,,,,大きい犬がいます。,おおきいいぬがいます。,There is a big dog.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,大きな,おおきな,big,determiner,,,,大きな家に住んでいます。,おおきないえにすんでいます。,I live in a big house.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,大勢,おおぜい,great number of people,noun,,,,大勢の人が来ました。,おおぜいのひとがきました。,A lot of people came.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お母さん,おかあさん,mother (formal),noun,,,,お母さんは料理が上手です。,おかあさんはりょうりがじょうずです。,My mother is good at cooking.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お菓子,おかし,"confections, sweets, snack",noun,,,,お菓子を食べます。,おかしをたべます。,I eat sweets.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お金,おかね,money,noun,,,,お金がありません。,おかねがありません。,I have no money.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,起きる,おきる,"to get up (e.g., from sleeping); to happen",verb,ichidan,intransitive,,毎朝七時に起きます。,まいあさしちじにおきます。,I get up at seven every morning.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,置く,おく,to put; to lay; to place,verb,godan,transitive,,かばんを机に置きます。,かばんをつくえにおきます。,I put the bag on the desk.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,奥さん,おくさん,(someone else's) wife (hon.),noun,,,,田中さんの奥さんは先生です。,たなかさんのおくさんはせんせいです。,Mr. Tanaka's wife is a teacher.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お酒,おさけ,sake; alcohol,noun,,,,お酒を飲みます。,おさけをのみます。,I drink sake.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お皿,おさら,"plate, dish",noun,,,,お皿を洗います。,おさらをあらいます。,I wash the dishes.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,伯父,おじさん,"uncle, middle-aged man",noun,,,,おじさんの家に行きます。,おじさんのいえにいきます。,I go to my uncle's house.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: 叔父さん
expression,N5,vocabulary,,叔父さん,おじさん,"uncle, middle-aged man",noun,,,,おじさんの家に行きます。,おじさんのいえにいきます。,I go to my uncle's house.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: 伯父
expression,N5,vocabulary,,おじいさん,おじいさん,"grandfather, male senior citizen",noun,,,,おじいさんは元気です。,おじいさんはげんきです。,My grandfather is well.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,教える,おしえる,"to teach, to inform, to instruct",verb,ichidan,transitive,,日本語を教えます。,にほんごをおしえます。,I teach Japanese.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,押す,おす,"to push, to press, to stamp (e.g., a passport)",verb,godan,transitive,,ボタンを押します。,ボタンをおします。,I push the button.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,遅い,おそい,slow; (to be) late,i-adjective,,,,バスが遅いです。,バスがおそいです。,The bus is late.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お茶,おちゃ,(green) tea,noun,,,,お茶を飲みます。,おちゃをのみます。,I drink tea.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",noun,,,,お手洗いはどこですか。,おてあらいはどこですか。,Where is the restroom?,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お父さん,おとうさん,father (formal),noun,,,,お父さんは会社員です。,おとうさんはかいしゃいんです。,My father is a company employee.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,弟,おとうと,younger brother,noun,,,,弟と遊びます。,おとうととあそびます。,I play with my younger brother.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,男,おとこ,"man, male",noun,,,,あの男の人は先生です。,あのおとこのひとはせんせいです。,That man is a teacher.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,男の子,おとこのこ,boy,noun,,,,男の子が走っています。,おとこのこがはしっています。,A boy is running.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,一昨日,おととい,the day before yesterday,noun,,,,一昨日、友達に会いました。,おととい、ともだちにあいました。,I met my friend the day before yesterday.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,おととし,おととし,year before last,noun,,,,おととし、日本へ行きました。,おととし、にほんへいきました。,I went to Japan the year before last.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,大人,おとな,adult,noun,,,,大人は三人います。,おとなはさんにんいます。,There are three adults.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,お腹,おなか,stomach,noun,,,,お腹がすきました。,おなかがすきました。,I am hungry.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
