type,level,skill,topics,japanese,reading,onyomi,kunyomi,meaning,example,example_reading,example_meaning,source,source_ref,tags,notes
kanji,N5,kanji,,十,とお,"ジュウ, ジュッ, ジッ",とお,ten,十,ジュウ,ten (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,十,とお,"ジュウ, ジュッ, ジッ",とお,ten,十時,ジュウジ,ten o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,十,とお,"ジュウ, ジュッ, ジッ",とお,ten,十,とお,ten,Genki I,Lesson 3,,
kanji,N5,kanji,,百,ヒャク,"ヒャク, ビャク, ピャク",—,hundred,百,ヒャク,hundred,Genki I,Lesson 3,,
kanji,N5,kanji,,百,ヒャク,"ヒャク, ビャク, ピャク",—,hundred,三百,サンビャク,three hundred,Genki I,Lesson 3,,
kanji,N5,kanji,,百,ヒャク,"ヒャク, ビャク, ピャク",—,hundred,六百,ロッピャク,six hundred,Genki I,Lesson 3,,
kanji,N5,kanji,,百,ヒャク,"ヒャク, ビャク, ピャク",—,hundred,八百,ハッピャク,eight hundred,Genki I,Lesson 3,,
kanji,N5,kanji,,千,セン,"セン, ゼン",—,thousand,千,セン,thousand,Genki I,Lesson 3,,
kanji,N5,kanji,,千,セン,"セン, ゼン",—,thousand,八千,ハッセン,eight thousand,Genki I,Lesson 3,,
kanji,N5,kanji,,千,セン,"セン, ゼン",—,thousand,千円,センエン,one thousand yen,Genki I,Lesson 3,,
kanji,N5,kanji,,千,セン,"セン, ゼン",—,thousand,三千,サンゼン,three thousand,Genki I,Lesson 3,,
kanji,N5,kanji,,万,マン,マン,—,ten thousand,一万,イチマン,ten thousand,Genki I,Lesson 3,,
kanji,N5,kanji,,万,マン,マン,—,ten thousand,十万,ジュウマン,one hundred thousand,Genki I,Lesson 3,,
kanji,N5,kanji,,万,マン,マン,—,ten thousand,百万,ヒャクマン,one million,Genki I,Lesson 3,,
kanji,N5,kanji,,円,まる,エン,まる,yen / circle,円,エン,yen (Japanese currency) / circle,Genki I,Lesson 3,,
kanji,N5,kanji,,円,まる,エン,まる,yen / circle,百円,ヒャクエン,one hundred yen,Genki I,Lesson 3,,
kanji,N5,kanji,,円,まる,エン,まる,yen / circle,円い,まるい,round,Genki I,Lesson 3,,
kanji,N5,kanji,,時,とき,ジ,とき,"time, hour",一時,イチジ,one o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,時,とき,ジ,とき,"time, hour",こどもの時,こどものとき,in one's childhood,Genki I,Lesson 3,,
kanji,N5,kanji,,日,び,"ニ, ニチ, ニッ","び, ひ, か",day / sun,日本,ニホン,Japan,Genki I,Lesson 4,,
kanji,N5,kanji,,日,び,"ニ, ニチ, ニッ","び, ひ, か",day / sun,日曜日,ニチヨウび,Sunday,Genki I,Lesson 4,,
kanji,N5,kanji,,日,び,"ニ, ニチ, ニッ","び, ひ, か",day / sun,三日,みっか,three days,Genki I,Lesson 4,,
kanji,N5,kanji,,本,もと,ホン,もと,books / basis,本,ホン,book,Genki I,Lesson 4,,
kanji,N5,kanji,,本,もと,ホン,もと,books / basis,本木さん,もときさん,Mr./Ms. Motoki,Genki I,Lesson 4,,
kanji,N5,kanji,,人,ひと,"ジン, ニン",ひと,person,日本人,ニホンジン,Japanese people,Genki I,Lesson 4,,
kanji,N5,kanji,,人,ひと,"ジン, ニン",ひと,person,三人,サンニン,three people,Genki I,Lesson 4,,
kanji,N5,kanji,,人,ひと,"ジン, ニン",ひと,person,一人で,ひとりで,alone,Genki I,Lesson 4,,
kanji,N5,kanji,,人,ひと,"ジン, ニン",ひと,person,この人,このひと,this person,Genki I,Lesson 4,,
kanji,N5,kanji,,月,つき,"ゲツ, ガツ",つき,moon / month,月曜日,ゲツヨウび,Monday,Genki I,Lesson 4,,
kanji,N5,kanji,,月,つき,"ゲツ, ガツ",つき,moon / month,一月,イチガツ,January,Genki I,Lesson 4,,
kanji,N5,kanji,,月,つき,"ゲツ, ガツ",つき,moon / month,一か月,イッカゲツ,one month,Genki I,Lesson 4,,
kanji,N5,kanji,,月,つき,"ゲツ, ガツ",つき,moon / month,月,つき,moon,Genki I,Lesson 4,,
kanji,N5,kanji,,火,ひ,カ,"ひ, び",fire,火曜日,カヨウび,Tuesday,Genki I,Lesson 4,,
kanji,N5,kanji,,火,ひ,カ,"ひ, び",fire,火,ひ,fire,Genki I,Lesson 4,,
kanji,N5,kanji,,水,みず,スイ,みず,water,水曜日,スイヨウび,Wednesday,Genki I,Lesson 4,,
kanji,N5,kanji,,水,みず,スイ,みず,water,水,みず,water,Genki I,Lesson 4,,
kanji,N5,kanji,,木,き,モク,き,tree,木曜日,モクヨウび,Thursday,Genki I,Lesson 4,,
kanji,N5,kanji,,木,き,モク,き,tree,木,き,tree,Genki I,Lesson 4,,
kanji,N5,kanji,,金,かね,キン,かね,gold / money,金曜日,キンヨウび,Friday,Genki I,Lesson 4,,
kanji,N5,kanji,,金,かね,キン,かね,gold / money,金,キン,gold,Genki I,Lesson 4,,
kanji,N5,kanji,,金,かね,キン,かね,gold / money,お金,おかね,money,Genki I,Lesson 4,,
kanji,N5,kanji,,土,つち,"ド, ト",つち,soil,土曜日,ドヨウび,Saturday,Genki I,Lesson 4,,
kanji,N5,kanji,,土,つち,"ド, ト",つち,soil,土,つち,soil,Genki I,Lesson 4,,
kanji,N5,kanji,,曜,ヨウ,ヨウ,—,weekday,曜日,ヨウび,day of the week,Genki I,Lesson 4,,
kanji,N5,kanji,,上,うえ,ジョウ,"うえ, のぼ",up,上,うえ,top / above,Genki I,Lesson 4,,
kanji,N5,kanji,,上,うえ,ジョウ,"うえ, のぼ",up,上る,のぼる,to go up,Genki I,Lesson 4,,
kanji,N5,kanji,,下,した,カ,"した, くだ",down,下,した,under,Genki I,Lesson 4,,
kanji,N5,kanji,,下,した,カ,"した, くだ",down,下さい,ください,please give/do…,Genki I,Lesson 4,,
kanji,N5,kanji,,中,なか,"チュウ, ジュウ",なか,middle,日中,ニッチュウ,during the day,Genki I,Lesson 4,,
kanji,N5,kanji,,中,なか,"チュウ, ジュウ",なか,middle,一日中,イチニチジュウ,all the day long,Genki I,Lesson 4,,
kanji,N5,kanji,,中,なか,"チュウ, ジュウ",なか,middle,中,なか,inside,Genki I,Lesson 4,,
kanji,N5,kanji,,半,ハン,ハン,—,half,三時半,サンジハン,half past three,Genki I,Lesson 4,,
kanji,N5,kanji,,山,やま,サン,やま,mountain,山,やま,mountain,Genki I,Lesson 5,,
kanji,N5,kanji,,山,やま,サン,やま,mountain,山川さん,やまかわさん,Mr./Ms. Yamakawa,Genki I,Lesson 5,,
kanji,N5,kanji,,川,かわ,—,"かわ, がわ",river,川,かわ,river,Genki I,Lesson 5,,
kanji,N5,kanji,,川,かわ,—,"かわ, がわ",river,川田さん,かわたさん,Mr./Ms. Kawata,Genki I,Lesson 5,,
kanji,N5,kanji,,元,もと,"ゲン, ガン",もと,origin,元気な,ゲンキな,fine,Genki I,Lesson 5,,
kanji,N5,kanji,,元,もと,"ゲン, ガン",もと,origin,元日,ガンジツ,the first day of the year,Genki I,Lesson 5,,
kanji,N5,kanji,,元,もと,"ゲン, ガン",もと,origin,元元,もともと,originally / from the start,Genki I,Lesson 5,,
kanji,N5,kanji,,気,キ,キ,—,spirit,人気,ニンキ,popularity,Genki I,Lesson 5,,
kanji,N5,kanji,,気,キ,キ,—,spirit,一気に,イッキに,in one go / in one gulp,Genki I,Lesson 5,,
kanji,N5,kanji,,天,テン,テン,—,heaven,天気,テンキ,weather / good weather,Genki I,Lesson 5,,
kanji,N5,kanji,,私,わたし,シ,わたし,I / private,私見,シケン,personal opinion,Genki I,Lesson 5,,
kanji,N5,kanji,,私,わたし,シ,わたし,I / private,私,わたし,I,Genki I,Lesson 5,,
kanji,N5,kanji,,今,いま,コン,いま,now,今月,コンゲツ,this month,Genki I,Lesson 5,,
kanji,N5,kanji,,今,いま,コン,いま,now,今,いま,now,Genki I,Lesson 5,,
kanji,N5,kanji,,今,いま,コン,いま,now,今日,きょう,today,Genki I,Lesson 5,,
kanji,N5,kanji,,田,た,—,"た, だ",rice field,田中さん,たなかさん,Mr./Ms. Tanaka,Genki I,Lesson 5,,
kanji,N5,kanji,,田,た,—,"た, だ",rice field,山田さん,やまださん,Mr./Ms. Yamada,Genki I,Lesson 5,,
kanji,N5,kanji,,田,た,—,"た, だ",rice field,田んぼ,たんぼ,rice field,Genki I,Lesson 5,,
kanji,N5,kanji,,女,おんな,ジョ,おんな,woman,男女,ダンジョ,men and women,Genki I,Lesson 5,,
kanji,N5,kanji,,女,おんな,ジョ,おんな,woman,女の人,おんなのひと,woman,Genki I,Lesson 5,,
kanji,N5,kanji,,男,おとこ,ダン,おとこ,man,男の人,おとこのひと,man,Genki I,Lesson 5,,
kanji,N5,kanji,,見,み,ケン,み,to see,一見,イッケン,look / glimpse / at first glance,Genki I,Lesson 5,,
kanji,N5,kanji,,見,み,ケン,み,to see,見る,みる,to see,Genki I,Lesson 5,,
kanji,N5,kanji,,見,み,ケン,み,to see,月見,つきみ,moon viewing,Genki I,Lesson 5,,
kanji,N5,kanji,,行,い,"コウ, ギョウ",い,to go,一行,イッコウ,party / group,Genki I,Lesson 5,,
kanji,N5,kanji,,行,い,"コウ, ギョウ",い,to go,一行,イチギョウ,one line / one row,Genki I,Lesson 5,,
kanji,N5,kanji,,行,い,"コウ, ギョウ",い,to go,行く,いく,to go,Genki I,Lesson 5,,
kanji,N5,kanji,,食,た,ショク,た,to eat,日本食,ニホンショク,Japanese food / meal,Genki I,Lesson 5,,
kanji,N5,kanji,,食,た,ショク,た,to eat,食べる,たべる,to eat,Genki I,Lesson 5,,
kanji,N5,kanji,,飲,の,イン,の,to drink,飲食,インショク,food and drink / eating and drinking,Genki I,Lesson 5,,
kanji,N5,kanji,,飲,の,イン,の,to drink,飲む,のむ,to drink,Genki I,Lesson 5,,
kanji,N5,kanji,,東,ひがし,トウ,ひがし,east,東,ひがし,east,Genki I,Lesson 6,,
kanji,N5,kanji,,東,ひがし,トウ,ひがし,east,東口,ひがしぐち,east exit,Genki I,Lesson 6,,
kanji,N5,kanji,,西,にし,"セイ, サイ",にし,west,北西,ホクセイ,northwest,Genki I,Lesson 6,,
kanji,N5,kanji,,西,にし,"セイ, サイ",にし,west,西,にし,west,Genki I,Lesson 6,,
kanji,N5,kanji,,西,にし,"セイ, サイ",にし,west,西口,にしぐち,west exit,Genki I,Lesson 6,,
kanji,N5,kanji,,南,みなみ,ナン,みなみ,south,南東,ナントウ,southeast,Genki I,Lesson 6,,
kanji,N5,kanji,,南,みなみ,ナン,みなみ,south,東南アジア,トウナンアジア,Southeast Asia,Genki I,Lesson 6,,
kanji,N5,kanji,,南,みなみ,ナン,みなみ,south,南,みなみ,south,Genki I,Lesson 6,,
kanji,N5,kanji,,南,みなみ,ナン,みなみ,south,南口,みなみぐち,south exit,Genki I,Lesson 6,,
kanji,N5,kanji,,北,きた,"ホク, ホッ",きた,north,東北,トウホク,the north-east / Tohoku area,Genki I,Lesson 6,,
kanji,N5,kanji,,北,きた,"ホク, ホッ",きた,north,北,きた,north,Genki I,Lesson 6,,
kanji,N5,kanji,,北,きた,"ホク, ホッ",きた,north,北口,きたぐち,north exit,Genki I,Lesson 6,,
kanji,N5,kanji,,口,ぐち,コウ,"ぐち, くち",mouth,人口,ジンコウ,population,Genki I,Lesson 6,,
kanji,N5,kanji,,口,ぐち,コウ,"ぐち, くち",mouth,口,くち,mouth,Genki I,Lesson 6,,
kanji,N5,kanji,,出,で,"シュッ, シュツ","で, だ",to exit,出国,シュッコク,departure from a country,Genki I,Lesson 6,,
kanji,N5,kanji,,出,で,"シュッ, シュツ","で, だ",to exit,出る,でる,to exit,Genki I,Lesson 6,,
kanji,N5,kanji,,出,で,"シュッ, シュツ","で, だ",to exit,出口,でぐち,exit,Genki I,Lesson 6,,
kanji,N5,kanji,,出,で,"シュッ, シュツ","で, だ",to exit,出す,だす,to take something out,Genki I,Lesson 6,,
kanji,N5,kanji,,右,みぎ,"ウ, ユウ",みぎ,right,左右,サユウ,right and left,Genki I,Lesson 6,,
kanji,N5,kanji,,右,みぎ,"ウ, ユウ",みぎ,right,右,みぎ,right,Genki I,Lesson 6,,
kanji,N5,kanji,,右,みぎ,"ウ, ユウ",みぎ,right,右上,みぎうえ,upper right,Genki I,Lesson 6,,
kanji,N5,kanji,,左,ひだり,サ,ひだり,left,左,ひだり,left,Genki I,Lesson 6,,
kanji,N5,kanji,,左,ひだり,サ,ひだり,left,左上,ひだりうえ,upper left,Genki I,Lesson 6,,
kanji,N5,kanji,,分,わ,"フン, プン, ブン",わ,minute / to divide,五分,ゴフン,five minutes,Genki I,Lesson 6,,
kanji,N5,kanji,,分,わ,"フン, プン, ブン",わ,minute / to divide,十分,ジュップン,ten minutes,Genki I,Lesson 6,,
kanji,N5,kanji,,分,わ,"フン, プン, ブン",わ,minute / to divide,半分,ハンブン,half,Genki I,Lesson 6,,
kanji,N5,kanji,,分,わ,"フン, プン, ブン",わ,minute / to divide,分ける,わける,to divide,Genki I,Lesson 6,,
kanji,N5,kanji,,先,さき,セン,さき,ahead,先生,センセイ,teacher,Genki I,Lesson 6,,
kanji,N5,kanji,,先,さき,セン,さき,ahead,先日,センジツ,the other day,Genki I,Lesson 6,,
kanji,N5,kanji,,先,さき,セン,さき,ahead,先に,さきに,ahead,Genki I,Lesson 6,,
kanji,N5,kanji,,生,う,"セイ, ショウ",う,birth,学生,ガクセイ,student,Genki I,Lesson 6,,
kanji,N5,kanji,,生,う,"セイ, ショウ",う,birth,一生,イッショウ,whole life / a lifetime,Genki I,Lesson 6,,
kanji,N5,kanji,,生,う,"セイ, ショウ",う,birth,生む,うむ,to give birth / to produce,Genki I,Lesson 6,,
kanji,N5,kanji,,生,う,"セイ, ショウ",う,birth,生まれる,うまれる,to be born,Genki I,Lesson 6,,
kanji,N5,kanji,,大,おお,"ダイ, タイ",おお,big,大学生,ダイガクセイ,college/university student,Genki I,Lesson 6,,
kanji,N5,kanji,,大,おお,"ダイ, タイ",おお,big,大半,タイハン,majority / mostly,Genki I,Lesson 6,,
kanji,N5,kanji,,大,おお,"ダイ, タイ",おお,big,大きい,おおきい,big,Genki I,Lesson 6,,
kanji,N5,kanji,,大,おお,"ダイ, タイ",おお,big,大人,おとな,adult,Genki I,Lesson 6,,
kanji,N5,kanji,,学,まな,"ガク, ガッ",まな,learning,大学,ダイガク,university / college,Genki I,Lesson 6,,
kanji,N5,kanji,,学,まな,"ガク, ガッ",まな,learning,学ぶ,まなぶ,to study,Genki I,Lesson 6,,
kanji,N5,kanji,,外,そと,ガイ,そと,outside,外国,ガイコク,foreign country,Genki I,Lesson 6,,
kanji,N5,kanji,,外,そと,ガイ,そと,outside,外国人,ガイコクジン,foreigner,Genki I,Lesson 6,,
kanji,N5,kanji,,外,そと,ガイ,そと,outside,外出,ガイシュツ,going out,Genki I,Lesson 6,,
kanji,N5,kanji,,外,そと,ガイ,そと,outside,外,そと,outside,Genki I,Lesson 6,,
kanji,N5,kanji,,国,くに,"コク, ゴク, コッ",くに,country,大国,タイコク,large country / major nation,Genki I,Lesson 6,,
kanji,N5,kanji,,国,くに,"コク, ゴク, コッ",くに,country,中国,チュウゴク,China,Genki I,Lesson 6,,
kanji,N5,kanji,,国,くに,"コク, ゴク, コッ",くに,country,国,くに,country,Genki I,Lesson 6,,
kanji,N5,kanji,,京,キョウ,キョウ,—,capital,東京,トウキョウ,Tokyo,Genki I,Lesson 7,,
kanji,N5,kanji,,京,キョウ,キョウ,—,capital,京子,キョウこ,Kyoko (name),Genki I,Lesson 7,,
kanji,N5,kanji,,京,キョウ,キョウ,—,capital,上京する,ジョウキョウする,to go to the capital,Genki I,Lesson 7,,
kanji,N5,kanji,,子,こ,シ,こ,child,女子,ジョシ,girl / woman,Genki I,Lesson 7,,
kanji,N5,kanji,,子,こ,シ,こ,child,男子,ダンシ,boy / man,Genki I,Lesson 7,,
kanji,N5,kanji,,子,こ,シ,こ,child,男の子,おとこのこ,boy,Genki I,Lesson 7,,
kanji,N5,kanji,,子,こ,シ,こ,child,女の子,おんなのこ,girl,Genki I,Lesson 7,,
kanji,N5,kanji,,小,ちい,ショウ,ちい,small,小学校,ショウガッコウ,elementary school,Genki I,Lesson 7,,
kanji,N5,kanji,,小,ちい,ショウ,ちい,small,小学生,ショウガクセイ,elementary school student,Genki I,Lesson 7,,
kanji,N5,kanji,,小,ちい,ショウ,ちい,small,小さい,ちいさい,small,Genki I,Lesson 7,,
kanji,N5,kanji,,会,あ,カイ,あ,to meet,会社,カイシャ,company,Genki I,Lesson 7,,
kanji,N5,kanji,,会,あ,カイ,あ,to meet,国会,コッカイ,National Diet,Genki I,Lesson 7,,
kanji,N5,kanji,,会,あ,カイ,あ,to meet,会う,あう,to meet,Genki I,Lesson 7,,
kanji,N5,kanji,,社,シャ,"シャ, ジャ",—,company,社会,シャカイ,society,Genki I,Lesson 7,,
kanji,N5,kanji,,社,シャ,"シャ, ジャ",—,company,入社,ニュウシャ,entry to a company,Genki I,Lesson 7,,
kanji,N5,kanji,,父,ちち,フ,"ちち, とう",father,父母,フボ,father and mother,Genki I,Lesson 7,,
kanji,N5,kanji,,父,ちち,フ,"ちち, とう",father,父,ちち,father (formal),Genki I,Lesson 7,,
kanji,N5,kanji,,父,ちち,フ,"ちち, とう",father,お父さん,おとうさん,father,Genki I,Lesson 7,,
kanji,N5,kanji,,母,はは,ボ,"はは, かあ",mother,母語,ボゴ,mother tongue,Genki I,Lesson 7,,
kanji,N5,kanji,,母,はは,ボ,"はは, かあ",mother,母国,ボコク,one's home country,Genki I,Lesson 7,,
kanji,N5,kanji,,母,はは,ボ,"はは, かあ",mother,母,はは,mother (formal),Genki I,Lesson 7,,
kanji,N5,kanji,,母,はは,ボ,"はは, かあ",mother,お母さん,おかあさん,mother,Genki I,Lesson 7,,
kanji,N5,kanji,,高,たか,コウ,たか,high,高校,コウコウ,high school,Genki I,Lesson 7,,
kanji,N5,kanji,,高,たか,コウ,たか,high,高校生,コウコウセイ,high school student,Genki I,Lesson 7,,
kanji,N5,kanji,,高,たか,コウ,たか,high,高い,たかい,expensive / high,Genki I,Lesson 7,,
kanji,N5,kanji,,校,コウ,コウ,—,school,学校,ガッコウ,school,Genki I,Lesson 7,,
kanji,N5,kanji,,校,コウ,コウ,—,school,中学校,チュウガッコウ,junior high school,Genki I,Lesson 7,,
kanji,N5,kanji,,毎,マイ,マイ,—,every,毎日,マイニチ,every day,Genki I,Lesson 7,,
kanji,N5,kanji,,語,ゴ,ゴ,—,word / language,外国語,ガイコクゴ,foreign language,Genki I,Lesson 7,,
kanji,N5,kanji,,語,ゴ,ゴ,—,word / language,中国語,チュウゴクゴ,Chinese language,Genki I,Lesson 7,,
kanji,N5,kanji,,語,ゴ,ゴ,—,word / language,日本語,ニホンゴ,Japanese language,Genki I,Lesson 7,,
kanji,N5,kanji,,文,ブン,ブン,—,sentence,文学,ブンガク,literature,Genki I,Lesson 7,,
kanji,N5,kanji,,文,ブン,ブン,—,sentence,本文,ホンブン,"text (of a book, document, etc.)",Genki I,Lesson 7,,
kanji,N5,kanji,,帰,かえ,キ,かえ,to return,帰京,キキョウ,returning to the capital,Genki I,Lesson 7,,
kanji,N5,kanji,,帰,かえ,キ,かえ,to return,帰国,キコク,return to one's country,Genki I,Lesson 7,,
kanji,N5,kanji,,帰,かえ,キ,かえ,to return,帰り,かえり,return,Genki I,Lesson 7,,
kanji,N5,kanji,,帰,かえ,キ,かえ,to return,帰る,かえる,to return (home),Genki I,Lesson 7,,
kanji,N5,kanji,,入,はい,ニュウ,"はい, いり",to enter,入会,ニュウカイ,"admission (to a society, club, etc.)",Genki I,Lesson 7,,
kanji,N5,kanji,,入,はい,ニュウ,"はい, いり",to enter,入学,ニュウガク,admission (to a school or university),Genki I,Lesson 7,,
kanji,N5,kanji,,入,はい,ニュウ,"はい, いり",to enter,入国,ニュウコク,entry into a country,Genki I,Lesson 7,,
kanji,N5,kanji,,入,はい,ニュウ,"はい, いり",to enter,入る,はいる,to enter,Genki I,Lesson 7,,
kanji,N5,kanji,,入,はい,ニュウ,"はい, いり",to enter,入れる,いれる,to put something in,Genki I,Lesson 7,,
kanji,N5,kanji,,入,はい,ニュウ,"はい, いり",to enter,入り口,いりぐち,entrance,Genki I,Lesson 7,,
kanji,N5,kanji,,員,イン,イン,—,member,会社員,カイシャイン,office worker,Genki I,Lesson 8,,
kanji,N5,kanji,,員,イン,イン,—,member,社員,シャイン,company employee,Genki I,Lesson 8,,
kanji,N5,kanji,,員,イン,イン,—,member,会員,カイイン,member (of a group or club),Genki I,Lesson 8,,
kanji,N5,kanji,,員,イン,イン,—,member,一員,イチイン,one member,Genki I,Lesson 8,,
kanji,N5,kanji,,新,あたら,シン,あたら,new,新人,シンジン,new face / newcomer,Genki I,Lesson 8,,
kanji,N5,kanji,,新,あたら,シン,あたら,new,新聞,シンブン,newspaper,Genki I,Lesson 8,,
kanji,N5,kanji,,新,あたら,シン,あたら,new,新しい,あたらしい,new,Genki I,Lesson 8,,
kanji,N5,kanji,,聞,き,ブン,き,to listen,見聞,ケンブン,experience / observation,Genki I,Lesson 8,,
kanji,N5,kanji,,聞,き,ブン,き,to listen,聞く,きく,to listen,Genki I,Lesson 8,,
kanji,N5,kanji,,聞,き,ブン,き,to listen,聞こえる,きこえる,can be heard,Genki I,Lesson 8,,
kanji,N5,kanji,,作,つく,サク,つく,to make,作文,サクブン,composition,Genki I,Lesson 8,,
kanji,N5,kanji,,作,つく,サク,つく,to make,大作,タイサク,large-scale work,Genki I,Lesson 8,,
kanji,N5,kanji,,作,つく,サク,つく,to make,作る,つくる,to make,Genki I,Lesson 8,,
kanji,N5,kanji,,仕,つか,シ,つか,to serve,仕事,シごと,job / work,Genki I,Lesson 8,,
kanji,N5,kanji,,仕,つか,シ,つか,to serve,仕える,つかえる,to serve / to work under,Genki I,Lesson 8,,
kanji,N5,kanji,,事,ごと,ジ,"ごと, こと",thing,火事,カジ,fire,Genki I,Lesson 8,,
kanji,N5,kanji,,事,ごと,ジ,"ごと, こと",thing,食事,ショクジ,meal,Genki I,Lesson 8,,
kanji,N5,kanji,,事,ごと,ジ,"ごと, こと",thing,大事,ダイジ,important / serious / precious,Genki I,Lesson 8,,
kanji,N5,kanji,,事,ごと,ジ,"ごと, こと",thing,見事,みごと,splendid / magnificent,Genki I,Lesson 8,,
kanji,N5,kanji,,事,ごと,ジ,"ごと, こと",thing,事,こと,thing,Genki I,Lesson 8,,
kanji,N5,kanji,,電,デン,デン,—,electricity,電気,デンキ,electricity / light,Genki I,Lesson 8,,
kanji,N5,kanji,,電,デン,デン,—,electricity,電車,デンシャ,train,Genki I,Lesson 8,,
kanji,N5,kanji,,電,デン,デン,—,electricity,電子,デンシ,electron / electronic,Genki I,Lesson 8,,
kanji,N5,kanji,,車,くるま,シャ,くるま,car,水車,スイシャ,water wheel,Genki I,Lesson 8,,
kanji,N5,kanji,,車,くるま,シャ,くるま,car,日本車,ニホンシャ,Japanese car,Genki I,Lesson 8,,
kanji,N5,kanji,,車,くるま,シャ,くるま,car,車,くるま,car,Genki I,Lesson 8,,
kanji,N5,kanji,,休,やす,キュウ,やす,to rest,休学,キュウガク,temporary absence from school,Genki I,Lesson 8,,
kanji,N5,kanji,,休,やす,キュウ,やす,to rest,休日,キュウジツ,holiday / day off,Genki I,Lesson 8,,
kanji,N5,kanji,,休,やす,キュウ,やす,to rest,休む,やすむ,to be absent / to rest,Genki I,Lesson 8,,
kanji,N5,kanji,,休,やす,キュウ,やす,to rest,休み,やすみ,holiday / absence,Genki I,Lesson 8,,
kanji,N5,kanji,,言,い,ゲン,"い, こと",to say,言語,ゲンゴ,language,Genki I,Lesson 8,,
kanji,N5,kanji,,言,い,ゲン,"い, こと",to say,言う,いう,to say,Genki I,Lesson 8,,
kanji,N5,kanji,,言,い,ゲン,"い, こと",to say,一言,ひとこと,single word / brief comment,Genki I,Lesson 8,,
kanji,N5,kanji,,読,よ,ドク,よ,to read,一読,イチドク,perusal / one reading,Genki I,Lesson 8,,
kanji,N5,kanji,,読,よ,ドク,よ,to read,読む,よむ,to read,Genki I,Lesson 8,,
kanji,N5,kanji,,思,おも,シ,おも,to think,思う,おもう,to think,Genki I,Lesson 8,,
kanji,N5,kanji,,思,おも,シ,おも,to think,思い出す,おもいだす,to recall / to remember,Genki I,Lesson 8,,
kanji,N5,kanji,,思,おも,シ,おも,to think,思い出,おもいで,memories,Genki I,Lesson 8,,
