type,level,skill,topics,japanese,reading,meaning,part_of_speech,verb_type,transitivity,paired_with,example,example_reading,example_meaning,source,source_ref,tags,notes
expression,N4,vocabulary,,拾う,ひろう,"to pick up (something), to find",verb,godan,transitive,,ごみを拾いました。,ごみをひろいました。,I picked up trash.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～ございます,～ございます,"to be (polite), to exist",phrase,,,,ありがとうございます。,ありがとうございます。,Thank you very much.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,気,き,"spirit, mood",noun,,,,気をつけてください。,きをつけてください。,Please be careful.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,比べる,くらべる,to compare,verb,ichidan,transitive,,二つを比べます。,ふたつをくらべます。,I compare the two.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ほとんど,ほとんど,"mostly, almost",adverb,,,,宿題はほとんど終わりました。,しゅくだいはほとんどおわりました。,The homework is almost finished.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,つもり,つもり,"intention, plan",noun,,,,明日行くつもりです。,あしたいくつもりです。,I intend to go tomorrow.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,郊外,こうがい,"suburb, outskirts",noun,,,,郊外に住んでいます。,こうがいにすんでいます。,I live in the suburbs.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,だめ,だめ,"useless, no good, hopeless",na-adjective,,,,これはだめです。,これはだめです。,This is no good.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,売り場,うりば,place where things are sold,noun,,,,靴の売り場はどこですか。,くつのうりばはどこですか。,Where is the shoe department?,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,正月,しょうがつ,"New Year, New Year's Day",noun,,,,お正月に家族と会います。,おしょうがつにかぞくとあいます。,I meet my family at New Year's.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,規則,きそく,"rule, regulation",noun,,,,規則を守ります。,きそくをまもります。,I follow the rules.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,うん,うん,"yes (informal), all right (ok)",interjection,,,,うん、分かった。,うん、わかった。,"Yeah, got it.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,発音,はつおん,pronunciation,noun,,,,発音を練習します。,はつおんをれんしゅうします。,I practice pronunciation.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,焼く,やく,"to bake, to grill",verb,godan,transitive,,パンを焼きます。,パンをやきます。,I bake bread.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,屋上,おくじょう,rooftop,noun,,,,屋上に上がります。,おくじょうにあがります。,I go up to the rooftop.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,失礼,しつれい,"discourtesy, impoliteness; Excuse me",na-adjective,,,,失礼しました。,しつれいしました。,Excuse me / I apologize.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ごみ,ごみ,"trash, garbage",noun,,,,ごみを捨てます。,ごみをすてます。,I throw away the trash.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,アフリカ,アフリカ,Africa,noun,,,,アフリカへ旅行します。,アフリカへりょこうします。,I travel to Africa.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,点,てん,"mark, score, grade; point, dot",noun,,,,テストで百点を取りました。,テストでひゃくてんをとりました。,I got 100 points on the test.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",adverb,,,,一生懸命勉強しました。,いっしょうけんめいべんきょうしました。,I studied very hard.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,今度,こんど,"now, this time, near future, one of these days, next time",noun,,,,今度、遊びに来てください。,こんど、あそびにきてください。,Please come visit sometime.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,機会,きかい,"chance, opportunity",noun,,,,いい機会です。,いいきかいです。,It's a good opportunity.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,建てる,たてる,to build,verb,ichidan,transitive,,家を建てます。,いえをたてます。,I build a house.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,複雑,ふくざつ,"complexity, complication",na-adjective,,,,この問題は複雑です。,このもんだいはふくざつです。,This problem is complicated.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,彼,かれ,"he, boyfriend",pronoun,,,,彼は先生です。,かれはせんせいです。,He is a teacher.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",verb,irregular,intransitive,,先生がいらっしゃいます。,せんせいがいらっしゃいます。,The teacher is here.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,布団,ふとん,futon,noun,,,,布団を敷きます。,ふとんをしきます。,I lay out the futon.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,大事,だいじ,"important, valuable, serious matter",na-adjective,,,,家族が大事です。,かぞくがだいじです。,Family is important.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,贈り物,おくりもの,a gift; a present,noun,,,,贈り物をもらいました。,おくりものをもらいました。,I received a gift.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,泥棒,どろぼう,thief; burglar,noun,,,,泥棒に注意してください。,どろぼうにちゅういしてください。,Please watch out for thieves.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～製,～せい,made in ~,suffix,,,,日本製の車です。,にほんせいのくるまです。,It is a car made in Japan.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,注意,ちゅうい,"caution, attention",noun,,,,注意してください。,ちゅういしてください。,Please be careful.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,台風,たいふう,typhoon,noun,,,,台風が来ます。,たいふうがきます。,A typhoon is coming.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,日,ひ,"sun, sunshine, day",noun,,,,いい日ですね。,いいひですね。,"It's a nice day, isn't it?",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～軒,～けん,counter for houses,counter,,,,家が三軒あります。,いえがさんげんあります。,There are three houses.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,そう,そう,"really, (is that) so; yes, right",adverb,,,,そうですね。,そうですね。,"That's right, isn't it.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,通る,とおる,"to pass (by), to go through",verb,godan,intransitive,,この道を通ります。,このみちをとおります。,I go through this road.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,過ぎる,すぎる,"to exceed, to go beyond",verb,ichidan,intransitive,,もう九時を過ぎました。,もうくじをすぎました。,It's already past nine o'clock.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,レポート,レポート,report,noun,,,,レポートを書きます。,レポートをかきます。,I write a report.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: リポート
expression,N4,vocabulary,,リポート,リポート,report,noun,,,,レポートを書きます。,レポートをかきます。,I write a report.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: レポート
expression,N4,vocabulary,,葉,は,leaf,noun,,,,葉が落ちました。,はがおちました。,The leaf fell.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,必要,ひつよう,necessary,na-adjective,,,,お金が必要です。,おかねがひつようです。,Money is necessary.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,課長,かちょう,section manager,noun,,,,課長に相談します。,かちょうにそうだんします。,I consult with the section manager.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,地震,じしん,earthquake,noun,,,,昨日、地震がありました。,きのう、じしんがありました。,There was an earthquake yesterday.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,すると,すると,"and, then",conjunction,,,,すると、雨が降り出しました。,すると、あめがふりだしました。,"And then, it started to rain.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,止める,やめる,"to end, to stop",verb,ichidan,transitive,,たばこをやめました。,たばこをやめました。,I quit smoking.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ガラス,ガラス,"glass, pane",noun,,,,ガラスが割れました。,ガラスがわれました。,The glass broke.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～学部,～がくぶ,department of a university,suffix,,,,医学部で勉強しています。,いがくぶでべんきょうしています。,I study in the medical department.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,厳しい,きびしい,hard; rigorous; strict,i-adjective,,,,先生は厳しいです。,せんせいはきびしいです。,The teacher is strict.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,エスカレーター,エスカレーター,escalator,noun,,,,エスカレーターに乗ります。,エスカレーターにのります。,I get on the escalator.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,人口,じんこう,population,noun,,,,この町の人口は多いです。,このまちのじんこうはおおいです。,This town's population is large.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,月,つき,moon,noun,,,,月がきれいです。,つきがきれいです。,The moon is beautiful.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,絹,きぬ,silk,noun,,,,絹のシャツを買いました。,きぬのシャツをかいました。,I bought a silk shirt.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ちっとも,ちっとも,not at all (neg. verb),adverb,,,,ちっとも分かりません。,ちっともわかりません。,I don't understand at all.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,深い,ふかい,"deep, profound",i-adjective,,,,この川は深いです。,このかわはふかいです。,This river is deep.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,壊れる,こわれる,"to be broken, to break",verb,ichidan,intransitive,,テレビが壊れました。,テレビがこわれました。,The TV broke.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,揺れる,ゆれる,"to shake, to sway",verb,ichidan,intransitive,,地震で家が揺れました。,じしんでいえがゆれました。,The house shook due to the earthquake.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,落る,おちる,"to fall, to drop",verb,ichidan,intransitive,,りんごが落ちました。,りんごがおちました。,The apple fell.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,できるだけ,できるだけ,"if at all possible, as much as possible",adverb,,,,できるだけ早く来てください。,できるだけはやくきてください。,Please come as soon as possible.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,悲しい,かなしい,"sad, sorrowful",i-adjective,,,,その話は悲しいです。,そのはなしはかなしいです。,That story is sad.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,中学校,ちゅうがっこう,junior high school pupil,noun,,,,中学校の先生です。,ちゅうがっこうのせんせいです。,I am a junior high school teacher.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,ガス,ガス,gas,noun,,,,ガスを止めてください。,ガスをとめてください。,Please turn off the gas.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,祈る,いのる,to pray; to wish,verb,godan,transitive,,成功を祈ります。,せいこうをいのります。,I pray for success.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,盛ん,さかん,"prosperous, active, thriving",na-adjective,,,,この町はスポーツが盛んです。,このまちはスポーツがさかんです。,Sports are popular in this town.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,アルバイト,アルバイト,part-time job,noun,,,,アルバイトをしています。,アルバイトをしています。,I have a part-time job.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,起こす,おこす,to wake (someone) up,verb,godan,transitive,,朝、母を起こしました。,あさ、ははをおこしました。,I woke up my mother in the morning.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,致す,いたす,-- extra-modest expression for する --,verb,godan,transitive,,私がいたします。,わたしがいたします。,I will do it.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,噛む,かむ,"to bite, to chew",verb,godan,transitive,,よく噛んで食べます。,よくかんでたべます。,I chew well when eating.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,赤ちゃん,あかちゃん,"baby, infant",noun,,,,赤ちゃんが泣いています。,あかちゃんがないています。,The baby is crying.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,浅い,あさい,"shallow, superficial",i-adjective,,,,このプールは浅いです。,このプールはあさいです。,This pool is shallow.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,嘘,うそ,lie,noun,,,,嘘をつかないでください。,うそをつかないでください。,Please don't lie.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,小説,しょうせつ,novel,noun,,,,小説を書いています。,しょうせつをかいています。,I am writing a novel.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,親,おや,a parent,noun,,,,親に感謝します。,おやにかんしゃします。,I am grateful to my parents.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,それに,それに,moreover; besides,conjunction,,,,それに、値段も安いです。,それに、ねだんもやすいです。,"Moreover, the price is cheap too.",JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,西洋,せいよう,"the West, Western countries",noun,,,,西洋の文化を勉強します。,せいようのぶんかをべんきょうします。,I study Western culture.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,思う,おもう,"to think, to feel",verb,godan,transitive,,そう思います。,そうおもいます。,I think so.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,パート (タイム),パート (タイム),part time (esp. female part time employees),noun,,,,パートで働いています。,パートではたらいています。,I work part-time.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,時代,じだい,"age, period, epoch, era",noun,,,,いい時代でした。,いいじだいでした。,It was a good era.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,申し上げる,もうしあげる,"(humble)to say, to tell",verb,ichidan,transitive,,お礼を申し上げます。,おれいをもうしあげます。,I express my gratitude.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,～式,～しき,~ ceremony; ~ style,suffix,,,,卒業式に出ます。,そつぎょうしきにでます。,I attend the graduation ceremony.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N4,vocabulary,,出席,しゅっせきする,attendance,noun,,,,会議に出席します。,かいぎにしゅっせきします。,I attend the meeting.,JLPT N4 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
