type,level,skill,topics,japanese,reading,onyomi,kunyomi,meaning,example,example_reading,example_meaning,source,source_ref,tags,notes
kanji,N4,kanji,,昼,ひる,チュウ,ひる,noon / daytime,昼,ひる,noon / daytime,Genki II,Lesson 13,,
kanji,N4,kanji,,昼,ひる,チュウ,ひる,noon / daytime,昼休み,ひるやすみ,lunch break,Genki II,Lesson 13,,
kanji,N4,kanji,,彼,かれ,—,"かれ, かの",he,彼,かれ,he,Genki II,Lesson 14,,
kanji,N4,kanji,,彼,かれ,—,"かれ, かの",he,彼ら,かれら,they,Genki II,Lesson 14,,
kanji,N4,kanji,,彼,かれ,—,"かれ, かの",he,彼女,かのじょ,she,Genki II,Lesson 14,,
kanji,N4,kanji,,代,か,ダイ,か,age / replace,代金,ダイキン,price / cost / charge,Genki II,Lesson 14,,
kanji,N4,kanji,,代,か,ダイ,か,age / replace,九十年代,キュウジュウネンダイ,90's,Genki II,Lesson 14,,
kanji,N4,kanji,,代,か,ダイ,か,age / replace,時代,ジダイ,age / era,Genki II,Lesson 14,,
kanji,N4,kanji,,代,か,ダイ,か,age / replace,十代,ジュウダイ,in one's teens,Genki II,Lesson 14,,
kanji,N4,kanji,,代,か,ダイ,か,age / replace,電気代,デンキダイ,electricity fee,Genki II,Lesson 14,,
kanji,N4,kanji,,代,か,ダイ,か,age / replace,代わりに,かわりに,instead,Genki II,Lesson 14,,
kanji,N4,kanji,,留,る,リュウ,る,to stay / to keep,留学する,リュウガクする,to study abroad,Genki II,Lesson 14,,
kanji,N4,kanji,,留,る,リュウ,る,to stay / to keep,留学生,リュウガクセイ,international students,Genki II,Lesson 14,,
kanji,N4,kanji,,族,ゾク,ゾク,—,family / tribe,一族,イチゾク,family / relatives / dependents,Genki II,Lesson 14,,
kanji,N4,kanji,,族,ゾク,ゾク,—,family / tribe,家族,カゾク,family,Genki II,Lesson 14,,
kanji,N4,kanji,,族,ゾク,ゾク,—,family / tribe,親族,シンゾク,relative / relation / kin,Genki II,Lesson 14,,
kanji,N4,kanji,,族,ゾク,ゾク,—,family / tribe,族長,ゾクチョウ,patriarch / head of a tribe,Genki II,Lesson 14,,
kanji,N4,kanji,,親,おや,シン,"おや, した",parent / intimacy,親切な,シンセツな,kind / generous,Genki II,Lesson 14,,
kanji,N4,kanji,,親,おや,シン,"おや, した",parent / intimacy,親友,シンユウ,best friend,Genki II,Lesson 14,,
kanji,N4,kanji,,親,おや,シン,"おや, した",parent / intimacy,親,おや,parent(s),Genki II,Lesson 14,,
kanji,N4,kanji,,親,おや,シン,"おや, した",parent / intimacy,父親,ちちおや,father,Genki II,Lesson 14,,
kanji,N4,kanji,,親,おや,シン,"おや, した",parent / intimacy,母親,ははおや,mother,Genki II,Lesson 14,,
kanji,N4,kanji,,親,おや,シン,"おや, した",parent / intimacy,親しい,したしい,intimate,Genki II,Lesson 14,,
kanji,N4,kanji,,切,き,セツ,"き, きっ",to cut,大切な,タイセツな,precious,Genki II,Lesson 14,,
kanji,N4,kanji,,切,き,セツ,"き, きっ",to cut,切る,きる,to cut,Genki II,Lesson 14,,
kanji,N4,kanji,,切,き,セツ,"き, きっ",to cut,切手,きって,postage stamp,Genki II,Lesson 14,,
kanji,N4,kanji,,英,エイ,エイ,—,English / excellent,英会話,エイカイワ,English conversation,Genki II,Lesson 14,,
kanji,N4,kanji,,英,エイ,エイ,—,English / excellent,英国,エイコク,United Kingdom,Genki II,Lesson 14,,
kanji,N4,kanji,,英,エイ,エイ,—,English / excellent,英語,エイゴ,English language,Genki II,Lesson 14,,
kanji,N4,kanji,,店,みせ,テン,みせ,shop/store,店員,テンイン,store clerk,Genki II,Lesson 14,,
kanji,N4,kanji,,店,みせ,テン,みせ,shop/store,店長,テンチョウ,store manager,Genki II,Lesson 14,,
kanji,N4,kanji,,店,みせ,テン,みせ,shop/store,書店,ショテン,bookstore,Genki II,Lesson 14,,
kanji,N4,kanji,,店,みせ,テン,みせ,shop/store,売店,バイテン,stall / kiosk,Genki II,Lesson 14,,
kanji,N4,kanji,,店,みせ,テン,みせ,shop/store,店,みせ,shop/store,Genki II,Lesson 14,,
kanji,N4,kanji,,去,さ,"キョ, コ",さ,past / to leave,去年,キョネン,last year,Genki II,Lesson 14,,
kanji,N4,kanji,,去,さ,"キョ, コ",さ,past / to leave,去る,さる,to leave,Genki II,Lesson 14,,
kanji,N4,kanji,,急,いそ,キュウ,いそ,to hurry / emergency,急に,キュウに,suddenly,Genki II,Lesson 14,,
kanji,N4,kanji,,急,いそ,キュウ,いそ,to hurry / emergency,急行,キュウコウ,express train,Genki II,Lesson 14,,
kanji,N4,kanji,,急,いそ,キュウ,いそ,to hurry / emergency,特急,トッキュウ,super express,Genki II,Lesson 14,,
kanji,N4,kanji,,急,いそ,キュウ,いそ,to hurry / emergency,急ぐ,いそぐ,to hurry,Genki II,Lesson 14,,
kanji,N4,kanji,,乗,の,ジョウ,の,to ride,乗車,ジョウシャ,"to ride/board (train, bus, taxi etc.)",Genki II,Lesson 14,,
kanji,N4,kanji,,乗,の,ジョウ,の,to ride,乗る,のる,to ride,Genki II,Lesson 14,,
kanji,N4,kanji,,乗,の,ジョウ,の,to ride,乗り物,のりもの,vehicle,Genki II,Lesson 14,,
kanji,N4,kanji,,当,あ,トウ,あ,to hit,当時,トウジ,at that time,Genki II,Lesson 14,,
kanji,N4,kanji,,当,あ,トウ,あ,to hit,本当に,ホントウに,really,Genki II,Lesson 14,,
kanji,N4,kanji,,当,あ,トウ,あ,to hit,当たる,あたる,to hit,Genki II,Lesson 14,,
kanji,N4,kanji,,音,おと,オン,"おと, ね",sound,音楽,オンガク,music,Genki II,Lesson 14,,
kanji,N4,kanji,,音,おと,オン,"おと, ね",sound,音,おと,sound,Genki II,Lesson 14,,
kanji,N4,kanji,,音,おと,オン,"おと, ね",sound,本音,ほんね,real intention,Genki II,Lesson 14,,
kanji,N4,kanji,,楽,らく,"ガク, ガッ","らく, たの",pleasure,楽な,らくな,easy / comfortable,Genki II,Lesson 14,,
kanji,N4,kanji,,楽,らく,"ガク, ガッ","らく, たの",pleasure,楽しい,たのしい,fun,Genki II,Lesson 14,,
kanji,N4,kanji,,楽,らく,"ガク, ガッ","らく, たの",pleasure,神楽,かぐら,Kagura / traditional Shinto music and dancing,Genki II,Lesson 14,,
kanji,N4,kanji,,医,イ,イ,—,doctor / medicine,医院,イイン,clinic,Genki II,Lesson 14,,
kanji,N4,kanji,,医,イ,イ,—,doctor / medicine,医学,イガク,medical science,Genki II,Lesson 14,,
kanji,N4,kanji,,医,イ,イ,—,doctor / medicine,医者,イシャ,doctor,Genki II,Lesson 14,,
kanji,N4,kanji,,者,もの,"シャ, ジャ",もの,person,学者,ガクシャ,scholar,Genki II,Lesson 14,,
kanji,N4,kanji,,者,もの,"シャ, ジャ",もの,person,読者,ドクシャ,reader,Genki II,Lesson 14,,
kanji,N4,kanji,,者,もの,"シャ, ジャ",もの,person,悪者,わるもの,bad guy / villain,Genki II,Lesson 14,,
kanji,N4,kanji,,死,し,シ,し,death / to die,死者,シシャ,the dead,Genki II,Lesson 15,,
kanji,N4,kanji,,死,し,シ,し,death / to die,死,し,death,Genki II,Lesson 15,,
kanji,N4,kanji,,死,し,シ,し,death / to die,死ぬ,しぬ,to die,Genki II,Lesson 15,,
kanji,N4,kanji,,意,イ,イ,—,mind / meaning,意見,イケン,opinion,Genki II,Lesson 15,,
kanji,N4,kanji,,意,イ,イ,—,mind / meaning,意味,イミ,meaning,Genki II,Lesson 15,,
kanji,N4,kanji,,意,イ,イ,—,mind / meaning,注意する,チュウイする,to watch out,Genki II,Lesson 15,,
kanji,N4,kanji,,味,あじ,ミ,あじ,flavour / taste,七味,シチミ,"blend of seven spices (cayenne, sesame, Japanese pepper, citrus peel, etc.)",Genki II,Lesson 15,,
kanji,N4,kanji,,味,あじ,ミ,あじ,flavour / taste,味,あじ,taste,Genki II,Lesson 15,,
kanji,N4,kanji,,注,そそ,チュウ,そそ,to pour / to shed,注文する,チュウモンする,to order,Genki II,Lesson 15,,
kanji,N4,kanji,,注,そそ,チュウ,そそ,to pour / to shed,注ぐ,そそぐ,to pour,Genki II,Lesson 15,,
kanji,N4,kanji,,夏,なつ,カ,なつ,summer,夏,なつ,summer,Genki II,Lesson 15,,
kanji,N4,kanji,,夏,なつ,カ,なつ,summer,夏休み,なつやすみ,summer vacation,Genki II,Lesson 15,,
kanji,N4,kanji,,魚,さかな,ギョ,"さかな, うお",fish,金魚,キンギョ,goldfish,Genki II,Lesson 15,,
kanji,N4,kanji,,魚,さかな,ギョ,"さかな, うお",fish,人魚,ニンギョ,mermaid,Genki II,Lesson 15,,
kanji,N4,kanji,,魚,さかな,ギョ,"さかな, うお",fish,魚,さかな,fish,Genki II,Lesson 15,,
kanji,N4,kanji,,魚,さかな,ギョ,"さかな, うお",fish,魚市場,うおいちば,fish market,Genki II,Lesson 15,,
kanji,N4,kanji,,寺,てら,ジ,"てら, でら",temple,東寺,トウジ,Toji (the name of a temple),Genki II,Lesson 15,,
kanji,N4,kanji,,寺,てら,ジ,"てら, でら",temple,寺院,ジイン,sacred building,Genki II,Lesson 15,,
kanji,N4,kanji,,寺,てら,ジ,"てら, でら",temple,お寺,おてら,temple,Genki II,Lesson 15,,
kanji,N4,kanji,,寺,てら,ジ,"てら, でら",temple,山寺,やまでら,mountain temple,Genki II,Lesson 15,,
kanji,N4,kanji,,広,ひろ,コウ,ひろ,spacious / wide,広大な,コウダイな,vast / extensive / immense,Genki II,Lesson 15,,
kanji,N4,kanji,,広,ひろ,コウ,ひろ,spacious / wide,広い,ひろい,wide / spacious,Genki II,Lesson 15,,
kanji,N4,kanji,,広,ひろ,コウ,ひろ,spacious / wide,広場,ひろば,square / open space,Genki II,Lesson 15,,
kanji,N4,kanji,,足,あし,ソク,"あし, た",foot / leg,一足,イッソク,one pair of shoes,Genki II,Lesson 15,,
kanji,N4,kanji,,足,あし,ソク,"あし, た",foot / leg,足,あし,foot / leg,Genki II,Lesson 15,,
kanji,N4,kanji,,足,あし,ソク,"あし, た",foot / leg,足りる,たりる,to be sufficient,Genki II,Lesson 15,,
kanji,N4,kanji,,転,ころ,テン,ころ,to roll over,自転車,ジテンシャ,bicycle,Genki II,Lesson 15,,
kanji,N4,kanji,,転,ころ,テン,ころ,to roll over,転ぶ,ころぶ,to tumble / to fall down,Genki II,Lesson 15,,
kanji,N4,kanji,,借,か,"シャク, シャッ",か,to borrow,借地,シャクチ,rented land,Genki II,Lesson 15,,
kanji,N4,kanji,,借,か,"シャク, シャッ",か,to borrow,借家,シャクヤ,rented house,Genki II,Lesson 15,,
kanji,N4,kanji,,借,か,"シャク, シャッ",か,to borrow,借金,シャッキン,debt,Genki II,Lesson 15,,
kanji,N4,kanji,,借,か,"シャク, シャッ",か,to borrow,借りる,かりる,to borrow,Genki II,Lesson 15,,
kanji,N4,kanji,,走,はし,ソウ,はし,to run,走行,ソウコウ,"running (of a car, bus, etc.)",Genki II,Lesson 15,,
kanji,N4,kanji,,走,はし,ソウ,はし,to run,走る,はしる,to run,Genki II,Lesson 15,,
kanji,N4,kanji,,走,はし,ソウ,はし,to run,走り書き,はしりがき,hasty writing,Genki II,Lesson 15,,
kanji,N4,kanji,,場,ば,ジョウ,ば,place,市場,シジョウ,"market (financial, stock, domestic, etc.)",Genki II,Lesson 15,,
kanji,N4,kanji,,場,ば,ジョウ,ば,place,場所,ばしょ,place,Genki II,Lesson 15,,
kanji,N4,kanji,,場,ば,ジョウ,ば,place,市場,いちば,market,Genki II,Lesson 15,,
kanji,N4,kanji,,建,たて,ケン,"たて, た",to build,建国,ケンコク,founding a nation,Genki II,Lesson 15,,
kanji,N4,kanji,,建,たて,ケン,"たて, た",to build,建物,たてもの,building,Genki II,Lesson 15,,
kanji,N4,kanji,,建,たて,ケン,"たて, た",to build,建てる,たてる,to build,Genki II,Lesson 15,,
kanji,N4,kanji,,建,たて,ケン,"たて, た",to build,建つ,たつ,to be built,Genki II,Lesson 15,,
kanji,N4,kanji,,地,チ,"チ, ジ",—,ground,地下,チカ,underground,Genki II,Lesson 15,,
kanji,N4,kanji,,地,チ,"チ, ジ",—,ground,地上,チジョウ,above ground / on the ground,Genki II,Lesson 15,,
kanji,N4,kanji,,地,チ,"チ, ジ",—,ground,土地,トチ,plot of land / lot / soil,Genki II,Lesson 15,,
kanji,N4,kanji,,地,チ,"チ, ジ",—,ground,地元,ジモト,home area / hometown / local,Genki II,Lesson 15,,
kanji,N4,kanji,,通,とお,ツウ,"とお, かよ",to pass / to commute,通学,ツウガク,going to school,Genki II,Lesson 15,,
kanji,N4,kanji,,通,とお,ツウ,"とお, かよ",to pass / to commute,通行,ツウコウ,passage (of people or vehicles) / passing (through) / traffic,Genki II,Lesson 15,,
kanji,N4,kanji,,通,とお,ツウ,"とお, かよ",to pass / to commute,通年,ツウネン,all year / year round,Genki II,Lesson 15,,
kanji,N4,kanji,,通,とお,ツウ,"とお, かよ",to pass / to commute,通り,とおり,street / road / avenue,Genki II,Lesson 15,,
kanji,N4,kanji,,通,とお,ツウ,"とお, かよ",to pass / to commute,通う,かよう,to commute,Genki II,Lesson 15,,
kanji,N4,kanji,,供,ども,キョウ,"ども, そな",companion / offer,自供,ジキョウ,confession,Genki II,Lesson 16,,
kanji,N4,kanji,,供,ども,キョウ,"ども, そな",companion / offer,子供,こども,child,Genki II,Lesson 16,,
kanji,N4,kanji,,供,ども,キョウ,"ども, そな",companion / offer,供える,そなえる,to offer something to a spirit,Genki II,Lesson 16,,
kanji,N4,kanji,,世,よ,"セ, セイ",よ,world / generation,世話,セワ,care,Genki II,Lesson 16,,
kanji,N4,kanji,,世,よ,"セ, セイ",よ,world / generation,三世,サンセイ,the third generation,Genki II,Lesson 16,,
kanji,N4,kanji,,世,よ,"セ, セイ",よ,world / generation,世の中,よのなか,society,Genki II,Lesson 16,,
kanji,N4,kanji,,界,カイ,カイ,—,world,世界,セカイ,the world,Genki II,Lesson 16,,
kanji,N4,kanji,,全,まった,ゼン,"まった, すべ",all,全国,ゼンコク,whole country,Genki II,Lesson 16,,
kanji,N4,kanji,,全,まった,ゼン,"まった, すべ",all,全体,ゼンタイ,whole / entirely,Genki II,Lesson 16,,
kanji,N4,kanji,,全,まった,ゼン,"まった, すべ",all,安全,アンゼン,safety,Genki II,Lesson 16,,
kanji,N4,kanji,,全,まった,ゼン,"まった, すべ",all,全く,まったく,entirely,Genki II,Lesson 16,,
kanji,N4,kanji,,全,まった,ゼン,"まった, すべ",all,全て,すべて,all,Genki II,Lesson 16,,
kanji,N4,kanji,,部,へ,ブ,へ,part / section,テニス部,てにすブ,tennis club,Genki II,Lesson 16,,
kanji,N4,kanji,,部,へ,ブ,へ,part / section,全部,ゼンブ,all,Genki II,Lesson 16,,
kanji,N4,kanji,,部,へ,ブ,へ,part / section,部長,ブチョウ,department manager,Genki II,Lesson 16,,
kanji,N4,kanji,,部,へ,ブ,へ,part / section,部屋,へや,room,Genki II,Lesson 16,,
kanji,N4,kanji,,始,はじ,シ,はじ,to begin,開始,カイシ,start,Genki II,Lesson 16,,
kanji,N4,kanji,,始,はじ,シ,はじ,to begin,始まる,はじまる,(something) begins,Genki II,Lesson 16,,
kanji,N4,kanji,,始,はじ,シ,はじ,to begin,始める,はじめる,to begin (something),Genki II,Lesson 16,,
kanji,N4,kanji,,週,シュウ,シュウ,—,week,一週間,イッシュウカン,one week,Genki II,Lesson 16,,
kanji,N4,kanji,,週,シュウ,シュウ,—,week,先週,センシュウ,last week,Genki II,Lesson 16,,
kanji,N4,kanji,,週,シュウ,シュウ,—,week,毎週,マイシュウ,every week,Genki II,Lesson 16,,
kanji,N4,kanji,,週,シュウ,シュウ,—,week,来週,ライシュウ,next week,Genki II,Lesson 16,,
kanji,N4,kanji,,考,かんが,コウ,かんが,to think / idea,考古学,コウコガク,archaeology,Genki II,Lesson 16,,
kanji,N4,kanji,,考,かんが,コウ,かんが,to think / idea,考える,かんがえる,to think,Genki II,Lesson 16,,
kanji,N4,kanji,,考,かんが,コウ,かんが,to think / idea,考え,かんがえ,idea,Genki II,Lesson 16,,
kanji,N4,kanji,,開,あ,カイ,"あ, ひら",to open,開店,カイテン,opening of a store,Genki II,Lesson 16,,
kanji,N4,kanji,,開,あ,カイ,"あ, ひら",to open,開く,あく,(something) opens,Genki II,Lesson 16,,
kanji,N4,kanji,,開,あ,カイ,"あ, ひら",to open,開ける,あける,to open (something),Genki II,Lesson 16,,
kanji,N4,kanji,,開,あ,カイ,"あ, ひら",to open,開く,ひらく,to open,Genki II,Lesson 16,,
kanji,N4,kanji,,屋,や,オク,や,shop / house,屋外,オクガイ,outdoors / outside,Genki II,Lesson 16,,
kanji,N4,kanji,,屋,や,オク,や,shop / house,屋上,オクジョウ,rooftop,Genki II,Lesson 16,,
kanji,N4,kanji,,屋,や,オク,や,shop / house,家屋,カオク,house / building,Genki II,Lesson 16,,
kanji,N4,kanji,,屋,や,オク,や,shop / house,魚屋,さかなや,fish shop,Genki II,Lesson 16,,
kanji,N4,kanji,,屋,や,オク,や,shop / house,本屋,ほんや,bookstore,Genki II,Lesson 16,,
kanji,N4,kanji,,屋,や,オク,や,shop / house,八百屋,やおや,greengrocer / fruit and vegetable shop,Genki II,Lesson 16,,
kanji,N4,kanji,,方,かた,ホウ,"かた, がた",direction / person,作法,サホウ,manners / etiquette / propriety,Genki II,Lesson 16,,
kanji,N4,kanji,,方,かた,ホウ,"かた, がた",direction / person,味方,みかた,ally / person on one's side,Genki II,Lesson 16,,
kanji,N4,kanji,,方,かた,ホウ,"かた, がた",direction / person,読み方,よみかた,way of reading,Genki II,Lesson 16,,
kanji,N4,kanji,,方,かた,ホウ,"かた, がた",direction / person,夕方,ゆうがた,evening,Genki II,Lesson 16,,
kanji,N4,kanji,,運,はこ,ウン,はこ,transport / luck,運,ウン,luck,Genki II,Lesson 16,,
kanji,N4,kanji,,運,はこ,ウン,はこ,transport / luck,運転,ウンテン,driving,Genki II,Lesson 16,,
kanji,N4,kanji,,運,はこ,ウン,はこ,transport / luck,運動,ウンドウ,(physical) exercise,Genki II,Lesson 16,,
kanji,N4,kanji,,運,はこ,ウン,はこ,transport / luck,運がいい,ウンがいい,lucky,Genki II,Lesson 16,,
kanji,N4,kanji,,運,はこ,ウン,はこ,transport / luck,悪運,アクウン,undeserved good luck / luck of the devil / dumb luck,Genki II,Lesson 16,,
kanji,N4,kanji,,運,はこ,ウン,はこ,transport / luck,運ぶ,はこぶ,to carry,Genki II,Lesson 16,,
kanji,N4,kanji,,動,うご,ドウ,うご,to move,動物,ドウブツ,animal,Genki II,Lesson 16,,
kanji,N4,kanji,,動,うご,ドウ,うご,to move,自転車,ジテンシャ,bicycle,Genki II,Lesson 16,,
kanji,N4,kanji,,動,うご,ドウ,うご,to move,自動車,ジドウシャ,automobile,Genki II,Lesson 16,,
kanji,N4,kanji,,動,うご,ドウ,うご,to move,動く,うごく,to move,Genki II,Lesson 16,,
kanji,N4,kanji,,教,おし,キョウ,おし,to teach,教会,キョウカイ,church,Genki II,Lesson 16,,
kanji,N4,kanji,,教,おし,キョウ,おし,to teach,キリスト教,きりすとキョウ,Christianity,Genki II,Lesson 16,,
kanji,N4,kanji,,教,おし,キョウ,おし,to teach,教える,おしえる,to teach,Genki II,Lesson 16,,
kanji,N4,kanji,,室,シツ,シツ,—,room,教室,キョウシツ,classroom,Genki II,Lesson 16,,
kanji,N4,kanji,,室,シツ,シツ,—,room,同室,ドウシツ,same room,Genki II,Lesson 16,,
kanji,N4,kanji,,室,シツ,シツ,—,room,地下室,チカシツ,basement,Genki II,Lesson 16,,
kanji,N4,kanji,,室,シツ,シツ,—,room,別室,ベッシツ,separate room / another room,Genki II,Lesson 16,,
kanji,N4,kanji,,以,イ,イ,—,by means of / compared with,～以下,いか,…or less～,Genki II,Lesson 16,,
kanji,N4,kanji,,以,イ,イ,—,by means of / compared with,以外,イガイ,other than…,Genki II,Lesson 16,,
kanji,N4,kanji,,以,イ,イ,—,by means of / compared with,以後,イゴ,after this / from now on / hereafter～,Genki II,Lesson 16,,
kanji,N4,kanji,,以,イ,イ,—,by means of / compared with,以上,イジョウ,…or more,Genki II,Lesson 16,,
kanji,N4,kanji,,以,イ,イ,—,by means of / compared with,以前,イゼン,before / formerly,Genki II,Lesson 16,,
kanji,N4,kanji,,野,の,ヤ,の,field,分野,ブンヤ,realm / field,Genki II,Lesson 17,,
kanji,N4,kanji,,野,の,ヤ,の,field,小野さん,おのさん,Mr./Ms. Ono,Genki II,Lesson 17,,
kanji,N4,kanji,,野,の,ヤ,の,field,長野,ながの,Nagano,Genki II,Lesson 17,,
kanji,N4,kanji,,習,なら,シュウ,なら,to learn,習字,シュウジ,calligraphy,Genki II,Lesson 17,,
kanji,N4,kanji,,習,なら,シュウ,なら,to learn,学習,ガクシュウ,learning / study,Genki II,Lesson 17,,
kanji,N4,kanji,,習,なら,シュウ,なら,to learn,習う,ならう,to learn,Genki II,Lesson 17,,
kanji,N4,kanji,,習,なら,シュウ,なら,to learn,習い事,ならいごと,"lessons (in an art, skill, etc.)",Genki II,Lesson 17,,
kanji,N4,kanji,,主,おも,シュ,"おも, ぬし",main / lord,主語,シュゴ,subject of a sentence,Genki II,Lesson 17,,
kanji,N4,kanji,,主,おも,シュ,"おも, ぬし",main / lord,ご主人,ごシュジン,husband,Genki II,Lesson 17,,
kanji,N4,kanji,,主,おも,シュ,"おも, ぬし",main / lord,主に,おもに,mainly,Genki II,Lesson 17,,
kanji,N4,kanji,,主,おも,シュ,"おも, ぬし",main / lord,持ち主,もちぬし,owner,Genki II,Lesson 17,,
kanji,N4,kanji,,主,おも,シュ,"おも, ぬし",main / lord,地主,ジぬし,landowner,Genki II,Lesson 17,,
kanji,N4,kanji,,歳,サイ,"サイ, セイ",—,year / age,二十五歳,ニジュウゴサイ,twenty-five years old,Genki II,Lesson 17,,
kanji,N4,kanji,,歳,サイ,"サイ, セイ",—,year / age,二十歳,はたち,twenty years old,Genki II,Lesson 17,,
