type,level,skill,topics,japanese,reading,meaning,explanation,formation,example,example_reading,example_meaning,related_vocabulary,related_kanji,source,source_ref,tags,notes
grammar,N4,grammar,giving-receiving,あげる,あげる,"""Give"" (speaker/in-group gives to someone else)","あげる can feel slightly presumptuous toward someone of higher status, since it frames the act as ""doing someone a favor."" さしあげる is the humble version for social superiors; やる is a rougher casual version for plants, animals, or clear subordinates.",Noun + をあげる,友達にプレゼントをあげました。,ともだちにぷれぜんとをあげました。,I gave my friend a present.,プレゼント;友達,友,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Not used when the receiver is the speaker.
grammar,N4,grammar,giving-receiving,くれる,くれる,"""Give"" (someone gives to the speaker/in-group)","くれる is the mirror image of あげる — the direction of benefit always flows toward the speaker or their in-group, which is why the giver, not the receiver, is the grammatical subject. くださる is the polite counterpart from a superior.",Noun + をくれる,友達が私にプレゼントをくれました。,ともだちがわたしにぷれぜんとをくれました。,My friend gave me a present.,プレゼント;友達,友;私,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The giver's perspective is reversed compared to あげる。
grammar,N4,grammar,giving-receiving,もらう,もらう,"""Receive""","Unlike あげる/くれる, もらう keeps the receiver (often the speaker) as the subject regardless of direction, and the giver is marked with に or から. いただく is the humble equivalent used when receiving from someone of higher status.",Noun + をもらう,友達にプレゼントをもらいました。,ともだちにぷれぜんとをもらいました。,I received a present from my friend.,プレゼント;友達,友,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The giver is marked with に or から。
grammar,N4,grammar,giving-receiving,〜てあげる・てくれる・てもらう,てあげる・てくれる・てもらう,Benefactive forms: doing an action as a favor,"Attaching these to the て-form extends the giver/receiver logic to actions done as favors rather than physical objects — 手伝ってくれた (helped me, as a favor) carries real gratitude nuance that a plain 手伝った lacks.",Verb て form + あげる/くれる/もらう,友達が手伝ってくれました。,ともだちがてつだってくれました。,My friend helped me (as a favor).,友達,友,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The direction of the favor follows the same logic as あげる/くれる/もらう。
grammar,N4,grammar,conditionals,〜と,と,"""When/if"" (natural, automatic consequence)","と describes an automatic, mechanical, or habitual cause-and-effect relationship and cannot be followed by a command, request, invitation, or expression of will in the result clause — this rules out sentences like 春になると旅行しましょう, which needs たら instead.",Verb/Adj (plain) + と,春になると、暖かくなります。,はるになると、あたたかくなります。,"When spring comes, it gets warm.",なる,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Cannot be followed by a volitional or command in the result clause.
grammar,N4,grammar,conditionals,〜ば,ば,"""If"" (general hypothetical condition)","ば works well for general truths, proverbs, and hypotheticals focused on the condition itself, and traditionally shares と's restriction against volitional results, though modern usage relaxes this when the subjects of condition and result differ. Of the four, ば feels the most literary.",Verb/Adj ば form,お金があれば、旅行します。,おかねがあれば、りょこうします。,"If I have money, I'll travel.",旅行;あれ;お金,金;旅;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Often used for general truths and proverbs.
grammar,N4,grammar,conditionals,〜たら,たら,"""If/when"" (general, common in speech)","たら is the most flexible and widely used conditional in everyday speech, covering hypothetical, definite future, and single completed past-triggered events, and unlike と/ば it freely allows commands and invitations in the result clause — when unsure which conditional to use, たら is usually safe.",Verb/Adj た form + ら,雨が降ったら、行きません。,あめがふったら、いきません。,"If it rains, I won't go.",,行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The most flexible and commonly used conditional.
grammar,N4,grammar,conditionals,〜なら,なら,"""If it's the case that"" (responds to a topic already mentioned)","なら is unique because it responds to a topic the listener has just raised, commenting on the premise itself rather than predicting a future consequence — 日本に行くなら means ""given you're talking about going to Japan, [here's my advice],"" which is why advice pairs so naturally with なら.",Noun/Verb (plain) + なら,日本に行くなら、京都がおすすめです。,にほんにいくなら、きょうとがおすすめです。,"If you're going to Japan, I recommend Kyoto.",行く,日;行;都,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Comments on the premise itself, not a future event."
grammar,N4,grammar,conditionals,〜ても,ても,"""Even if""","ても is the concessive counterpart to the other conditionals — instead of ""if X, then Y,"" it says ""even in the case of X, Y still holds,"" directly countering an assumption the listener might have (雨が降っても行きます counters the assumption that rain would stop the plan).",Verb て form + も,雨が降っても、行きます。,あめがふっても、いきます。,"Even if it rains, I'll go.",,行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Negative counterpart: 〜なくても (even if not)。
grammar,N4,grammar,verb-forms,可能形,かのうけい,"Potential form, ""can do"" (built into the verb itself)","The potential form is more natural and common in speech than ことができます, and once formed it always conjugates like an ichidan verb afterward regardless of the original group. Note the object particle often shifts from を to が (漢字が読めます).",Godan: e-stem+る／Ichidan: stem+られる／する→できる／来る→来られる,漢字が読めます。,かんじがよめます。,I can read kanji.,漢字,漢,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More natural in speech than ことができます。
grammar,N4,grammar,passive,受身形,うけみけい,Passive voice,"Beyond ""was done to,"" Japanese passive has a distinctive ""adversity passive"" (迷惑の受身) used even with intransitive verbs to show the speaker was negatively affected, such as 雨に降られました (I got rained on, inconveniently) — an emotional nuance with no direct English equivalent.",Godan: a-stem+れる／Ichidan: stem+られる／する→される／来る→来られる,先生に褒められました。,せんせいにほめられました。,I was praised by the teacher.,先生,先;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also expresses being negatively affected: 財布を盗まれました。
grammar,N4,grammar,causative,使役形,しえきけい,"Causative, ""make/let someone do""","Context determines whether causative means ""force someone to do something"" or ""allow/let someone do something."" The ""let"" meaning commonly appears with てあげる/てくれる/てもらう, as in 子供に遊ばせてあげました (I let my child play, as a kindness).",Godan: a-stem+せる／Ichidan: stem+させる／する→させる／来る→来させる,子供に野菜を食べさせます。,こどもにやさいをたべさせます。,I make my child eat vegetables.,子供;野菜,子;食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Can mean either ""force"" or ""let,"" depending on context."
grammar,N4,grammar,causative,使役受身形,しえきうけみけい,"Causative-passive, ""be made to do""","This combines causative and passive to express ""being made to do something against one's will,"" almost always used when the speaker feels put-upon, unlike the neutral or willing ""let"" sense of the plain causative.",Godan: a-stem+せられる(される)／Ichidan: stem+させられる,宿題をさせられました。,しゅくだいをさせられました。,I was made to do homework.,宿題,宿;題,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Godan verbs often contract せられる to される。
grammar,N4,grammar,honorific,尊敬語（基本動詞）,そんけいご（きほんどうし）,Basic respectful verbs for someone else's actions,"A handful of extremely common verbs (行く/来る/いる→いらっしゃる、食べる/飲む→召し上がる、言う→おっしゃる、する→なさる) have entirely separate honorific vocabulary, taking priority over れる/られる or お+stem+になる when talking about someone of higher status.","Special verb forms (いらっしゃる、召し上がる, etc.)",先生はもう帰られました。,せんせいはもうかえられました。,The teacher has already gone home.,先生;もう,先;生,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Special verbs exist for common actions like 行く/来る/食べる。
grammar,N4,grammar,honorific,謙譲語（基本動詞）,けんじょうご（きほんどうし）,Basic humble verbs for the speaker's own actions,"Mirror image of 尊敬語 — special humble verbs (行く/来る→参る、する→いたす、言う→申す、見る→拝見する、もらう→いただく) lower the speaker's own actions to elevate the listener, typically reserved for formal, business, or service contexts.","Special verb forms (いたす、申す, etc.)",私が荷物をお持ちいたします。,わたしがにもつをおもちいたします。,I will carry the luggage (humbly).,荷物,私;荷;物;持,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Lowers the speaker to show respect toward the listener.
grammar,N4,grammar,conjecture,〜そうです（伝聞）,そうです（でんぶん）,"Hearsay: ""I heard that...""","This hearsay そうです attaches to the full plain form (verb/adjective/noun+だ) and reports what the speaker heard elsewhere, without commenting on their own confidence — easy to confuse with the visual そうです below, which attaches to a stem instead.",Verb/Adj (plain) + そうです,天気予報によると、明日は雨だそうです。,てんきよほうによると、あしたはあめだそうです。,"According to the weather forecast, it will rain tomorrow.",天気予報;そうです;明日;天気;そう,明;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The source is often marked with によると。
grammar,N4,grammar,conjecture,〜そうです（様態）,そうです（ようたい）,"Visual conjecture, ""looks like""","This visual そうです is based on the speaker's own direct sensory impression and attaches to a stem, not the plain form — 雨が降りそうです (looks like rain, from the sky) contrasts sharply with 雨が降るそうです (I heard it'll rain, hearsay) despite differing by one letter.",Verb stem/Adj stem + そうです,このケーキはおいしそうです。,このけーきはおいしそうです。,This cake looks delicious.,そうです;ケーキ;この;そう,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"いい becomes よさそう, an irregular change."
grammar,N4,grammar,conjecture,〜ようです,ようです,"Conjecture based on evidence, ""it seems""","ようです is based on the speaker's own reasoning or indirect evidence, giving it a more personal, subjective feel than らしいです, which leans on external information or general reputation. It's also considered a bit more polite/literary than the casual みたいです。",Verb/Adj (plain) + ようです,誰か来たようです。,だれかきたようです。,It seems someone has come.,誰か,来,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,A more subjective/personal impression than らしい。
grammar,N4,grammar,conjecture,〜らしいです,らしいです,"Hearsay/typical trait, ""apparently, typical of""","らしいです is grounded in something the speaker heard or knows to be generally true, carrying a slightly more detached ""so I'm told"" feel than the personally-reasoned ようです。 Separately, らしい directly on a noun (男らしい) means ""typical of,"" an unrelated but related-looking use.",Verb/Adj/Noun (plain) + らしいです,田中さんは来ないらしいです。,たなかさんはこないらしいです。,"Apparently, Mr. Tanaka isn't coming.",ない;さん,田;中;来,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Also means ""typical of,"" e.g., 男らしい (manly)。"
grammar,N4,grammar,conjecture,〜でしょう,でしょう,"Probability, ""probably""","でしょう expresses the speaker's own prediction with fairly high confidence, and with rising intonation becomes a soft way of seeking agreement (""...right?"") rather than stating a guess — the function depends entirely on intonation in speech.",Verb/Adj/Noun (plain) + でしょう,明日は晴れるでしょう。,あしたははれるでしょう。,It will probably be sunny tomorrow.,晴れる;明日;晴れ,明;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Rising intonation turns it into a soft question, ""right?"""
grammar,N4,grammar,conjecture,〜かもしれません,かもしれません,"Possibility, ""might, may""","かもしれません signals genuinely uncertain possibility, weaker than でしょう, and unlike the other conjecture forms, doesn't require any particular evidence or reasoning behind it — it can be a pure guess with no basis at all.",Verb/Adj/Noun (plain) + かもしれません,明日は雨かもしれません。,あしたはあめかもしれません。,It might rain tomorrow.,明日;もし,明;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Weaker certainty than でしょう。
grammar,N4,grammar,conjecture,〜はずです,はずです,"Expectation based on reason, ""should be""","はずです isn't a guess — it expresses strong logical expectation based on known facts or reasoning (""it stands to reason that...""), which is why it sounds surprised when reality contradicts it (もう着いているはずなのに, they should have already arrived...).",Verb/Adj/Noun (plain) + はずです,田中さんはもう着いているはずです。,たなかさんはもうついているはずです。,Mr. Tanaka should have already arrived.,はず;さん;もう,田;中;着,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Expresses strong logical expectation, not simple guessing."
grammar,N4,grammar,obligation,〜なければなりません,なければなりません,"""Must do""","Literally ""if [I] don't do X, it won't do"" — this double-negative construction is why it looks complex, but functionally it's simply the standard, formal way to state an obligation. なければいけません is a near-synonymous alternative.",Verb ない form (drop い) + ければなりません,明日、早く起きなければなりません。,あした、はやくおきなければなりません。,I must get up early tomorrow.,明日,明;日;起,Eigen,,,Casual contraction: 〜なきゃ。
grammar,N4,grammar,obligation,〜なくてもいいです,なくてもいいです,"""Don't have to do""","The negative counterpart of てもいいです (""even if [I] don't do X, it's fine""), following the same logic — the standard way to release someone from an expectation they might otherwise assume applies.",Verb ない form (drop い) + くてもいいです,明日は行かなくてもいいです。,あしたはいかなくてもいいです。,I don't have to go tomorrow.,明日;いい,明;日;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The opposite of なければなりません。
grammar,N4,grammar,obligation,〜たほうがいいです,たほうがいいです,"""Had better do"" (advice)","This is advice, not obligation, so it's noticeably softer than なければなりません — said too bluntly, especially to someone you don't know well, it can still come across as a strong opinion, so speakers often soften it with かもしれません or んじゃないですか。",Verb た form + ほうがいいです,もっと野菜を食べたほうがいいです。,もっとやさいをたべたほうがいいです。,You'd better eat more vegetables.,もっと;野菜;いい,食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Can sound direct; soften with かもしれません when unsure.
grammar,N4,grammar,obligation,〜ないほうがいいです,ないほうがいいです,"""Had better not do"" (advice)","The negative advice counterpart, built on the ない形 rather than the た形 used in the affirmative — a subtle but important base-form distinction between the positive and negative versions of this pattern.",Verb ない form + ほうがいいです,お酒を飲みすぎないほうがいいです。,おさけをのみすぎないほうがいいです。,You'd better not drink too much.,お酒;ない;すぎ;いい,酒;飲,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The negative counterpart of たほうがいいです。
grammar,N4,grammar,intention,〜つもりです,つもりです,"""Intend to"" (personal plan)","つもりです states the speaker's own settled intention and can sound blunt or accusatory used to ask about someone else's plans directly (何をするつもりですか can sound like ""what exactly do you intend to do?"") — 予定 is often safer for neutral questions.",Verb (dictionary form) + つもりです,来年、留学するつもりです。,らいねん、りゅうがくするつもりです。,I intend to study abroad next year.,つもり;来年;する,来;年;学,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Negative: 〜ないつもりです (""intend not to"")。"
grammar,N4,grammar,intention,〜予定です,よていです,"""Scheduled to"" (more formal/fixed plan)","予定です describes a scheduled, often externally fixed plan rather than personal resolve, making it neutral and safe when asking about someone else's schedule, unlike the more personal-sounding つもりです。",Verb (dictionary form) + 予定です,来週、東京へ行く予定です。,らいしゅう、とうきょうへいくよていです。,I'm scheduled to go to Tokyo next week.,来週;予定;行く,来;週;東;行;定,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More formal and fixed than つもりです。
grammar,N4,grammar,intention,〜（よ）うと思います,（よ）うとおもいます,"""I've decided I'll try to..."" (volitional + think)","This softens a decision by framing it as something the speaker is currently leaning toward, rather than a firm commitment like つもりです — commonly used announcing a fresh decision in the moment; と思っています implies the decision has been held for a while already.",Verb volitional form + と思います,来年、日本語を勉強しようと思います。,らいねん、にほんごをべんきょうしようとおもいます。,I'm thinking I'll study Japanese next year.,勉強;来年,来;年;日;語;勉,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softer and more tentative than つもりです。
grammar,N4,grammar,intention,〜ことにする,ことにする,"""Decide to"" (speaker's own decision)","ことにする frames the decision as actively chosen by the speaker's own will, even for small everyday choices (毎日運動することにしました) — the resulting decision is typically ongoing/habitual rather than a one-off action.",Verb (dictionary/ない form) + ことにする,毎日運動することにしました。,まいにちうんどうすることにしました。,I decided to exercise every day.,運動;する;毎日,日;運;動,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Emphasizes an active, personal decision."
grammar,N4,grammar,intention,〜ことになる,ことになる,"""It has been decided that..."" (external/circumstantial decision)","ことになる deliberately avoids naming who made the decision, which is why it's natural for decisions made by circumstances, a company, or another authority rather than the speaker — using ことにする here would incorrectly claim personal agency over someone else's decision.",Verb (dictionary/ない form) + ことになる,来月、大阪に転勤することになりました。,らいげつ、おおさかにてんきんすることになりました。,It has been decided that I'll transfer to Osaka next month.,する;来月,来;月;大;転,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Implies the decision was made by others or circumstances.
grammar,N4,grammar,change-of-state,〜くなる・になる,くなる・になる,"""Become"" (change in an adjective or noun state)","This simply extends adjective conjugation logic to describe change over time rather than a static state — く for い-adjectives, に for な-adjectives/nouns, following the exact same pattern as adverb formation.",い-Adj stem+くなる／な-Adj/Noun+になる,日本語が上手になりました。,にほんごがじょうずになりました。,I have become good at Japanese.,上手,日;語;上,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"い-adjectives use く, な-adjectives/nouns use に。"
grammar,N4,grammar,change-of-state,〜ようになる,ようになる,"""Come to do"" (change in ability or habit)","ようになる specifically marks a gradual shift in ability or habit that emerged over time, distinct from a single instant of change — 漢字が読めるようになりました emphasizes the gradual process, not one moment.",Verb (dictionary/potential form) + ようになる,漢字が読めるようになりました。,かんじがよめるようになりました。,I have come to be able to read kanji.,漢字,漢,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Marks a gradual change over time, not a single event."
grammar,N4,grammar,change-of-state,〜くする・にする,くする・にする,"""Make (something into)""","This is the causative counterpart of くなる/になる — instead of something changing on its own, someone actively makes it change, following the same く/に split based on adjective type.",い-Adj stem+くする／な-Adj/Noun+にする,部屋をきれいにしました。,へやをきれいにしました。,I made the room clean.,部屋,部;屋,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The causative counterpart of くなる/になる。
grammar,N4,grammar,experience,〜たことがあります,たことがあります,"""Have done (before)"", experience","This describes experience at any point in an unspecified past and shouldn't be used for something that happened at a specific, recently-known time (use the plain past tense for that instead) — it answers ""have you ever,"" not ""did you.""",Verb た form + ことがあります,富士山に登ったことがあります。,ふじさんにのぼったことがあります。,I have climbed Mt. Fuji before.,,山;登,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Negative 〜たことがありません means ""have never done."""
grammar,N4,grammar,experience,〜たり〜たりします,たり〜たりします,Lists representative actions among others,"たり always appears at least twice (or with ""and so on"" implied after the last) to list a few representative activities among possibly many others, and pairs naturally with 週末は、休みの日は — using only one たり sounds incomplete.",Verb た form + り (repeated) + します,週末は本を読んだり、映画を見たりします。,しゅうまつはほんをよんだり、えいがをみたりします。,"On weekends, I do things like read books and watch movies.",映画,週;見,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Implies that other, unlisted activities also happen."
grammar,N4,grammar,experience,〜ことがあります,ことがあります,"""Sometimes happens/do""","Don't confuse this present-tense ことがあります (occasional occurrence, ""sometimes happens"") with the past-tense たことがあります (experience, ""have done before"") — the difference is entirely in whether the preceding verb is dictionary form or た form.",Verb (dictionary form) + ことがあります,たまに寝坊することがあります。,たまにねぼうすることがあります。,I sometimes oversleep.,たまに;寝坊;する,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Different from たことがある (past experience) — this is about occasional occurrence.
grammar,N4,grammar,extent-degree,〜すぎる,すぎる,"""Too much""","すぎる attaches to a stem (verb stem, or adjective stem with the final い/だ dropped) and always implies the amount crossed from ""enough"" into ""too much,"" carrying a negative or excessive nuance even when the underlying quality is normally positive.",Verb stem/Adj stem + すぎる,食べすぎました。,たべすぎました。,I ate too much.,すぎ,食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,い-adjectives drop the final い before すぎる。
grammar,N4,grammar,extent-degree,〜やすい,やすい,"""Easy to do""","やすい conjugates exactly like a normal い-adjective (やすかったです、やすくないです) and describes ease from a general or objective standpoint, not necessarily the speaker's personal preference.",Verb stem + やすい,この漢字は覚えやすいです。,このかんじはおぼえやすいです。,This kanji is easy to remember.,やすい;この;漢字,漢,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Conjugates like a normal い-adjective.
grammar,N4,grammar,extent-degree,〜にくい,にくい,"""Hard to do""","The direct negative counterpart of やすい, describing something inherently difficult to do, following the same い-adjective conjugation pattern.",Verb stem + にくい,この漢字は書きにくいです。,このかんじはかきにくいです。,This kanji is hard to write.,にくい;この;漢字,漢,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"The opposite of やすい, with the same conjugation pattern."
grammar,N4,grammar,extent-degree,〜くらい・ほど,くらい・ほど,"""To the extent that""","Beyond rough quantity estimates, くらい/ほど can express degree through a vivid comparison (""to the extent that...""), often with an exaggerated example, as in 泣きたいくらい嬉しい — ほど tends to sound slightly more formal/written than くらい in this usage.",Noun/Clause + くらい/ほど,泣きたいくらい嬉しいです。,なきたいくらいうれしいです。,I'm so happy I could cry.,くらい;嬉しい;いくら,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also used for rough amounts: 一時間くらい。
grammar,N4,grammar,comparison,〜より〜のほうが,より〜のほうが,"Comparative, ""more ~ than ~""","The item being favored/compared always sits directly before のほうが, while より marks the item compared against — Japanese comparison structure works essentially in reverse order compared to English ""more X than Y.""",A より B のほうが + Adj,電車よりバスのほうが安いです。,でんしゃよりばすのほうがやすいです。,The bus is cheaper than the train.,バス;電車;安い,電;車;安,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,The favored/compared item comes right before のほうが。
grammar,N4,grammar,comparison,〜の中で一番,のなかでいちばん,"Superlative, ""the most ~ among ~""","一番 must sit directly in front of the adjective or verb it modifies, and the group compared within is marked by の中で (""among/within"") — for comparing just two things, use より〜のほうが instead of a superlative.",Group + の中で一番 + Adj,家族の中で父が一番背が高いです。,かぞくのなかでちちがいちばんせがたかいです。,"Among my family, my father is the tallest.",一番;高い;家族,族;中;父;一,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,一番 always comes directly before the adjective.
grammar,N4,grammar,comparison,〜ほど〜ない,ほど〜ない,"""Not as ~ as ~""","This states that A falls short of B on some scale, always paired with a negative predicate — unlike より〜のほうが, which actively ranks two things, ほど〜ない focuses on the gap rather than which one wins.",A は B ほど + Adj (negative),今日は昨日ほど寒くないです。,きょうはきのうほどさむくないです。,Today is not as cold as yesterday.,ない;昨日;今日,今;日;寒,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Always paired with a negative predicate.
